© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(B-H p-value)	Ratio	z-score	Molecules
Glutaryl-CoA Degradation	2.37E00	5.62E-01	NaN	HSD17B10,ACAT2,CDYL,HADHB,EHHADH,HACD2,HSD17B4,HADH,HADHA
Role of CHK Proteins in Cell Cycle Checkpoint Control	2.37E00	3.68E-01	-2.668	PPP2CA,PPP2R2A,PPP2R5B,RFC5,E2F3,PPP2R5A,RAD50,RAD1,RFC4,RAD9A,RAD17,CDKN1A,MRE11,HUS1,ATMIN,ATR,PPP2R5E,TLK2,BRCA1,E2F2,ATM
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	2.37E00	5.26E-01	NaN	SYNJ2,SYNJ1,INPP5E,SEC16A,ITPKC,IPPK,INPPL1,INPP5K,INPP5A,PMPCA
Aldosterone Signaling in Epithelial Cells	2.37E00	2.86E-01	-4.707	ICMT,PLCB2,PIK3CA,SGK1,PIK3R1,DNAJC12,HSPA1A/HSPA1B,PIKFYVE,DNAJC3,KRAS,HSPA5,PIK3R4,SLC9A1,HSPA4,PIK3CG,SOS1,IRS2,DNAJB1,PRKD3,MAP2K1,FRS2,HSPB6,ATM,AHCY,PIK3C2B,GRB2,HSPH1,SLC12A2,HSPA9,DNAJC19,DNAJC1,PLCL2,HSPD1,HSPA8,DNAJC24,PRKCI,DUSP1,PRKCD,PLCG2,DNAJC18,DNAJC14,HSPA13,HSPB11,HSP90AA1,PIK3CB,NR3C2,DNAJC7,DNAJB5
Rac Signaling	2.37E00	3.08E-01	-5.145	MAP2K4,ABI2,PIK3CA,ARPC1B,PIK3R1,PIKFYVE,KRAS,PIK3R4,PARD6A,CDK5R1,ANK1,PAK1,ACTR3,PIK3CG,CYBB,IRS2,FRS2,MAP2K1,ATM,RPS6KB1,PIK3C2B,PAK4,NRAS,RRAS,GRB2,ARPC5L,MAP3K1,BRK1,MAPK8,MCF2L,PRKCI,ARPC1A,RHOA,PAK2,PIK3CB,ELK1
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	2.37E00	4.38E-01	-0.577	CD247,B2M,CD3E,CASP3,HLA-A,APAF1,CD3D,DFFA,CD3G,PRF1,BID,CYCS,CASP7,FASLG
Thrombopoietin Signaling	2.35E00	3.54E-01	-4.379	PIK3C2B,PIK3CA,NRAS,RRAS,GRB2,PIK3R1,KRAS,STAT3,JAK2,PIK3R4,SHC1,FOS,PRKCI,PRKCD,PIK3CG,PLCG2,SOS1,IRS2,PIK3CB,FRS2,PRKD3,MAP2K1,ATM
Pyridoxal 5'-phosphate Salvage Pathway	2.35E00	3.54E-01	NaN	PDXK,MAP2K4,MAP3K9,DAPK1,AKT2,FAM20B,SGK1,CDK7,MAPK8,CDK4,TTK,BRAF,PRKX,PAK1,CDK5,PIM1,PRKCD,PAK2,PRKAA1,EIF2AK2,ADPGK,MAP2K1,ACVR2A
Acute Myeloid Leukemia Signaling	2.33E00	3.23E-01	-4.200	MAP2K4,PIK3CA,TCF4,IDH3G,PIK3R1,KRAS,PIK3R4,BRAF,AKT1,PIM1,PIK3CG,SOS1,RPS6KB2,IRS2,FRS2,MAP2K1,IDH3B,ATM,RPS6KB1,PIK3C2B,AKT2,NRAS,RRAS,GRB2,STAT3,CSF1R,IDH2,PIK3CB,LEF1,PIM2
Transcriptional Regulatory Network in Embryonic Stem Cells	2.32E00	3.7E-01	NaN	HIST2H4B,STAT3,HIST1H4F,SET,HIST1H4C,H3F3A/H3F3B,RIF1,CDYL,HIST1H4K,HIST1H4D,HIST1H4L,PAX6,HIST1H4I,HIST1H4J,SKIL,HIST1H4B,HIST1H4H,HIST2H4A,ZFHX3,SMARCAD1
ERK/MAPK Signaling	2.32E00	2.75E-01	-4.258	PPP2CA,PIK3R1,PPP2R5B,KRAS,PIK3R4,LAMTOR3,PAK1,ETS2,PIK3CG,IRS2,FRS2,ATM,PIK3C2B,YWHAG,RRAS,CRKL,CREB3,MAPKAPK5,PPP1R11,STAT3,RAP1A,H3F3A/H3F3B,PLA2G2D,DUSP1,PRKCD,PLCG2,PRKACA,ELK3,PIK3CA,PPP2R2A,CRK,EIF4E,DUSP2,PRKAG1,BRAF,SHC1,ELF4,CREB1,SOS1,MAP2K1,PAK4,NRAS,ATF1,GRB2,PRKAR2A,RPS6KA5,PPP2R5A,FOS,ELF2,PRKCI,PAK2,RPS6KA4,PIK3CB,PPP2R5E,ELK1
Phagosome Maturation	2.3E00	2.91E-01	NaN	B2M,TUBA1B,RAB5C,ATP6V1D,VTI1A,HLA-A,PRDX1,CTSO,NAPG,PIKFYVE,ATP6V0D2,RAB5B,VPS33B,TUBB,ATP6AP1,VPS37C,CTSZ,NSF,CTSS,CYBB,DYNC2H1,TUBB4A,TUBA1C,BET1L,DCTN4,VPS41,TUBG1,TUBA4A,CANX,ATP6V1A,GPAA1,ATP6V1E1,CTSA,TUBA1A,ATP6V0A2,ATP6V0D1,CTSB,VPS37B,GOSR2,ATP6V1B2,ATP6V0E1,EEA1,PRDX2
14-3-3-mediated Signaling	2.3E00	2.98E-01	-3.772	MAP2K4,TUBA1B,TSC1,PIK3CA,PLCB2,PIK3R1,KRAS,TUBB,PIK3R4,AKT1,PIK3CG,TUBB4A,TUBA1C,IRS2,GSK3B,PDCD6IP,MAP2K1,FRS2,PRKD3,ATM,PIK3C2B,AKT2,NRAS,YWHAG,RRAS,GRB2,TUBG1,TUBA4A,MAPK8,BAX,PLCL2,FOS,TUBA1A,PRKCI,PRKCD,PLCG2,PIK3CB,CDKN1B,ELK1
Ovarian Cancer Signaling	2.29E00	2.92E-01	-4.707	TCF4,PIK3CA,PA2G4,SUV39H1,PIK3R1,CDK4,VEGFB,KRAS,PIK3R4,PRKAG1,MLH1,PTEN,RAD51,BRAF,VEGFA,ARRB1,AKT1,PIK3CG,RPS6KB2,IRS2,GSK3B,BRCA1,FRS2,MAP2K1,ATM,PIK3C2B,RPS6KB1,PMS2,AKT2,NRAS,TFDP1,RRAS,GRB2,PRKAR2A,SIN3A,MSH2,PRKACA,MSH6,BRCA2,PIK3CB,LEF1,PTGS2
UVB-Induced MAPK Signaling	2.28E00	3.48E-01	-4.264	MAP2K4,RPS6KB1,PIK3C2B,PIK3CA,GRB2,PIK3R1,MAPK8,RPS6KA3,RPS6KA5,PIK3R4,EIF4E,FOS,PRKCI,AKT1,H3F3A/H3F3B,PRKCD,PIK3CG,IRS2,PIK3CB,FRS2,PRKD3,MAP2K1,ATM
Melanocyte Development and Pigmentation Signaling	2.28E00	3.16E-01	-4.849	PIK3CA,PIK3R1,RPS6KA3,CRK,KRAS,PIK3R4,PRKAG1,SHC1,PIK3CG,CREB1,SOS1,RPS6KB2,IRS2,FRS2,MAP2K1,ATM,RPS6KB1,PIK3C2B,PTPN6,NRAS,RRAS,GRB2,MITF,CREB3,PRKAR2A,RPS6KA5,PLCG2,PRKACA,PIK3CB,RPS6KA4,ADCY7
Purine Nucleotides De Novo Biosynthesis II	2.26E00	6.36E-01	NaN	ADSS,ADSL,GMPS,IMPDH2,IMPDH1,PFAS,GART
Nur77 Signaling in T Lymphocytes	2.21E00	3.56E-01	NaN	CD247,Calm1 (includes others),CASP3,CD3E,HLA-A,APAF1,HLA-DQA1,HLA-DQB1,PPP3CC,CD3D,SIN3A,CABIN1,CD3G,CD28,PPP3CB,MEF2D,PPP3R1,NR4A1,CYCS,RXRA,MAP3K2
DNA Double-Strand Break Repair by Homologous Recombination	2.2E00	5.71E-01	NaN	RAD51,POLA1,MRE11,RAD52,BRCA2,BRCA1,RAD50,ATM
Lymphotoxin β Receptor Signaling	2.19E00	3.43E-01	-4.025	PIK3C2B,PIK3CA,AKT2,CASP3,GRB2,PIK3R1,APAF1,IKBKE,PIK3R4,DIABLO,NFKBID,IKBKG,AKT1,PIK3CG,TRAF4,IRS2,ELP1,CYCS,PIK3CB,CHUK,FRS2,BIRC2,ATM
Thrombin Signaling	2.14E00	2.7E-01	-5.857	PLCB2,MYL6,PIK3R1,RACK1,KRAS,PIK3R4,CAMK2D,GNA15,RHOB,PIK3CG,MYL4,ARHGEF11,IRS2,PRKD3,FRS2,ATM,PIK3C2B,RPS6KB1,ARHGEF4,AKT2,RRAS,GNG2,TBP,PLCL2,GNG10,RHOQ,RHOA,PRKCD,PLCG2,ARHGEF6,ARHGEF10,PIK3CA,F2RL2,GNA11,RHOH,SHC1,AKT1,CREB1,SOS1,GNG5,MAP2K1,NRAS,ARHGEF12,RHOC,GRB2,GNA12,GNAQ,ROCK1,GNAI3,ARHGEF5,PRKCI,PIK3CB,ELK1,GATA3,ADCY7
Sumoylation Pathway	2.13E00	3.12E-01	-1.877	MAP2K4,GDI1,PIAS1,RAN,RHOH,UBA2,TDG,SAE1,SP3,RHOB,RCC1,RANGAP1,SENP5,FASLG,RHOC,MAPK8,GDI2,SENP7,MDM2,RFC5,FOS,SENP1,RNF4,RHOQ,RFC4,KDM1A,SENP6,RHOA,ISG20,UBE2I
Reelin Signaling in Neurons	2.12E00	3.15E-01	NaN	MAP2K4,PAFAH1B2,PIK3CA,PIK3R1,PIK3R4,CDK5R1,YES1,AKT1,CDK5,PIK3CG,ARHGEF11,IRS2,MAP4K1,GSK3B,FRS2,ATM,PIK3C2B,MAP3K9,ARHGEF4,ARHGEF12,GRB2,CRKL,MAPK8,ARHGEF5,NDEL1,ARHGEF6,ITGA1,PIK3CB,ARHGEF10
GDNF Family Ligand-Receptor Interactions	2.11E00	3.29E-01	-3.674	MAP2K4,PIK3CA,PIK3R1,KRAS,NCK1,PIK3R4,SHC1,PIK3CG,CREB1,SOS1,IRS2,FRS2,MAP2K1,ATM,PIK3C2B,NRAS,GRB2,RRAS,MAPK8,GFRA2,DOK3,FOS,PLCG2,PIK3CB,DOK1
Renin-Angiotensin Signaling	2.08E00	2.95E-01	-5.240	MAP2K4,PIK3CA,PIK3R1,KRAS,JAK2,PIK3R4,PRKAG1,SHC1,PAK1,PIK3CG,SOS1,IRS2,FRS2,MAP2K1,PRKD3,ATM,PIK3C2B,PAK4,PTPN6,NRAS,RRAS,GRB2,MAP3K1,MAPK8,GNAQ,PRKAR2A,STAT3,FOS,PRKCI,PRKCD,PLCG2,PAK2,PRKACA,PIK3CB,ELK1,ADCY7
Tumoricidal Function of Hepatic Natural Killer Cells	2.08E00	4.58E-01	-1.897	PRF1,SERPINB9,CASP3,APAF1,BID,CYCS,BAX,CASP7,DFFA,FASLG,AIFM1
Leucine Degradation I	2.07E00	6.67E-01	NaN	BCAT2,AUH,MCCC1,IVD,HMGCL,ACADM
CD27 Signaling in Lymphocytes	2.06E00	3.58E-01	-2.183	MAP2K4,MAP3K9,CASP3,MAP3K1,MAPK8,APAF1,IKBKE,MAP3K12,NFKBID,FOS,IKBKG,BID,ELP1,CYCS,CHUK,CD27,NFKBIB,MAP2K1,MAP3K2
Growth Hormone Signaling	2.05E00	3.18E-01	-3.530	SOCS3,PIK3CA,PIK3R1,SOCS6,RPS6KA3,JAK2,PIK3R4,PIK3CG,RPS6KB2,IRS2,FRS2,PRKD3,ATM,RPS6KB1,PIK3C2B,PTPN6,GRB2,RPS6KA5,STAT3,FOS,IGF2,PRKCI,PRKCD,PLCG2,PIK3CB,RPS6KA4,ELK1
ErbB2-ErbB3 Signaling	2.03E00	3.33E-01	-2.985	PIK3C2B,PIK3CA,NRAS,RRAS,GRB2,PIK3R1,NRG4,KRAS,STAT3,PIK3R4,PTEN,SHC1,AKT1,PIK3CG,SOS1,IRS2,PIK3CB,CDKN1B,GSK3B,ELK1,FRS2,MAP2K1,ATM
iCOS-iCOSL Signaling in T Helper Cells	2.03E00	2.93E-01	-4.747	CD247,PIK3CA,Calm1 (includes others),CD3E,HLA-A,NFATC3,PIK3R1,HLA-DQA1,HLA-DQB1,PIK3R4,PTEN,PTPRC,SHC1,CD28,IKBKG,CAMK2D,AKT1,PPP3CB,PPP3R1,PIK3CG,IRS2,CHUK,NFKBIB,FRS2,ICOSLG/LOC102723996,ITK,ATM,PIK3C2B,AKT2,GRB2,IKBKE,PPP3CC,CD3D,NFKBID,CD3G,PIK3CB
Valine Degradation I	2.01E00	5E-01	NaN	HIBCH,ECHS1,BCAT2,AUH,HADHB,DLD,ACADSB,EHHADH,HADHA
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	2E00	2.68E-01	-4.808	MAP2K4,PPP2CA,PIK3R1,PPP2R5B,PIK3R4,IKBKG,RHOB,PIK3CG,CYBA,CYBB,IRS2,NFKBIB,PRKD3,FRS2,MAP3K2,ATM,PIK3C2B,MAP3K9,PTPN6,AKT2,PPP1R11,RAP1A,NFKBID,MAP3K12,NCF1,RHOQ,RHOA,PRKCD,PLCG2,IRF8,PIK3CA,PPP2R2A,JAK2,RHOH,LYZ,AKT1,CHUK,TNFRSF1B,MAP2K1,IFNG,RHOC,GRB2,MAP3K1,IFNGR2,MAPK8,IKBKE,PPP2R5A,FOS,PRKCI,CAT,PIK3CB,PPP2R5E
Type I Diabetes Mellitus Signaling	1.99E00	2.97E-01	-2.200	CD247,MAP2K4,SOCS3,CD3E,HLA-A,SOCS6,PIAS1,HLA-DQA1,JAK2,HLA-DQB1,HLA-G,CD28,IKBKG,PRF1,BID,CHUK,HLA-F,NFKBIB,TNFRSF1B,IL1RAP,FASLG,IFNG,CASP3,IFNGR2,APAF1,MAPK8,IKBKE,HSPD1,CD3D,NFKBID,CD3G,RIPK1,CYCS
IL-17A Signaling in Airway Cells	1.97E00	3.21E-01	-2.449	MAP2K4,PIK3C2B,AKT2,PIK3CA,GRB2,PIK3R1,MAPK8,IKBKE,JAK2,STAT3,PIK3R4,PTEN,CXCL3,NFKBID,IKBKG,AKT1,PIK3CG,IRS2,PIK3CB,CHUK,GSK3B,NFKBIB,MAP2K1,FRS2,ATM
FAK Signaling	1.95E00	3.03E-01	NaN	PIK3CA,ARHGEF7,PIK3R1,HMMR,CRK,KRAS,PIK3R4,PTEN,PAK1,AKT1,PIK3CG,SOS1,IRS2,FRS2,MAP2K1,ATM,PIK3C2B,PAK4,AKT2,NRAS,RRAS,GRB2,ACTB,CAPNS1,PLCG2,CAPN1,ARHGEF6,PAK2,PIK3CB,ACTG1
CD40 Signaling	1.89E00	3.16E-01	-2.449	MAP2K4,PIK3C2B,PIK3CA,ATF1,GRB2,PIK3R1,MAPK8,TNFAIP3,IKBKE,STAT3,PIK3R4,TANK,NFKBID,FOS,IKBKG,PIK3CG,ELP1,IRS2,PIK3CB,PTGS2,CHUK,NFKBIB,MAP2K1,FRS2,ATM
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	1.89E00	3.16E-01	-2.400	PIK3C2B,IFNG,AKT2,PIK3CA,CCR5,GRB2,CRKL,PIK3R1,CRK,PIK3R4,MLH1,NFKBID,GNAI3,IKBKG,AKT1,PIK3CG,ZNF346,IRS2,PIK3CB,GSK3B,NFKBIB,FRS2,MAP2K1,IFNAR1,ATM
HER-2 Signaling in Breast Cancer	1.84E00	3.07E-01	NaN	TSC1,PIK3CA,PIK3R1,KRAS,PIK3R4,PARD6A,AKT1,PIK3CG,SOS1,IRS2,GSK3B,FRS2,PRKD3,ATM,PIK3C2B,CCNE2,AKT2,NRAS,RRAS,GRB2,MDM2,CCNE1,PRKCI,PRKCD,CDKN1A,PIK3CB,CDKN1B
VEGF Family Ligand-Receptor Interactions	1.84E00	3.07E-01	-4.315	PIK3CA,PIK3R1,VEGFB,KRAS,PIK3R4,VEGFA,SHC1,AKT1,PIK3CG,SOS1,IRS2,FRS2,MAP2K1,PRKD3,ATM,PIK3C2B,AKT2,NRAS,RRAS,GRB2,FOS,PRKCI,PLA2G2D,PLCG2,PRKCD,PIK3CB,NRP1
GADD45 Signaling	1.83E00	4.74E-01	NaN	CCNE1,CCNE2,GADD45B,CCND2,CDKN1A,CDK4,ATR,BRCA1,ATM
PAK Signaling	1.82E00	2.97E-01	-4.017	MAP2K4,PIK3CA,MYL6,PAK1IP1,ARHGEF7,PIK3R1,KRAS,NCK1,PIK3R4,SHC1,PAK1,PIK3CG,SOS1,MYL4,IRS2,FRS2,MAP2K1,ATM,PIK3C2B,PAK4,NRAS,CASP3,RRAS,GRB2,MAPK8,EPHA3,ARHGEF6,PAK2,DSCAM,PIK3CB
CREB Signaling in Neurons	1.81E00	2.59E-01	-5.240	PLCB2,POLR2F,POLR2D,PIK3R1,RACK1,KRAS,PIK3R4,CAMK2D,GNA15,PIK3CG,IRS2,PRKD3,FRS2,POLR2L,ATM,POLR2I,PIK3C2B,AKT2,RRAS,GNG2,CREB3,TBP,POLR2H,PLCL2,GNG10,GRM7,POLR2E,PRKCD,PLCG2,PRKACA,PIK3CA,Calm1 (includes others),GNA11,POLR2J,PRKAG1,SHC1,POLR2C,POLR2A,AKT1,CREB1,SOS1,GNG5,MAP2K1,GRIN1,NRAS,GRB2,GNA12,PRKAR2A,GNAQ,POLR2G,GNAI3,PRKCI,PIK3CB,ELK1,ADCY7
Docosahexaenoic Acid (DHA) Signaling	1.81E00	3.46E-01	NaN	PIK3C2B,PIK3CA,AKT2,CASP3,GRB2,PIK3R1,APAF1,BAX,PIK3R4,AKT1,PIK3CG,BID,IRS2,CYCS,PIK3CB,GSK3B,FRS2,ATM
Ketogenesis	1.8E00	6E-01	NaN	BDH1,ACAT2,HADHB,HMGCL,HMGCS1,HADHA
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	1.8E00	3.01E-01	-5.292	PLD2,ARPC1B,PIK3R1,CRK,NCK1,PTEN,HMOX1,YES1,PAK1,AKT1,ACTR3,RAB11B,PIK3CG,RPS6KB2,PRKD3,RPS6KB1,AKT2,ARPC5L,FCGR2A,ACTB,MYO5A,PLD4,NCF1,PRKCI,ARPC1A,PRKCD,SYK,ACTG1
Superpathway of Methionine Degradation	1.79E00	3.78E-01	NaN	PRMT3,SUV39H2,MTR,MUT,EEF1AKMT2,PRMT5,DLD,GOT1,EHMT1,MAT2A,GOT2,COQ5,AHCY,NSUN4
Assembly of RNA Polymerase III Complex	1.79E00	5.38E-01	NaN	GTF3C4,GTF3C3,GTF3C5,TBP,GTF3A,BRF1,POLR3D
Urate Biosynthesis/Inosine 5'-phosphate Degradation	1.79E00	5.38E-01	NaN	NT5C3B,NT5C3A,NT5E,IMPDH2,XDH,IMPDH1,NT5M
Th2 Pathway	1.78E00	2.73E-01	-1.859	CD247,SOCS3,CCR5,PIK3CA,TGFBR1,CD3E,IL12RB1,CHD4,HLA-A,PIK3R1,HLA-DQA1,NCSTN,BMPR2,JAK2,HLA-DQB1,TBX21,PIK3R4,CD28,TGFB1,PIK3CG,CCR8,IRS2,FRS2,ICOSLG/LOC102723996,ATM,PIK3C2B,IFNG,IL4R,IL10,CXCR4,GRB2,IL12RB2,CD3D,STAT4,CD3G,APH1A,CXCR6,S1PR1,PIK3CB,GATA3,ACVR2A
Non-Small Cell Lung Cancer Signaling	1.76E00	3.12E-01	-3.771	PIK3C2B,PIK3CA,AKT2,NRAS,TFDP1,PA2G4,RRAS,GRB2,SUV39H1,PIK3R1,CDK4,KRAS,PIK3R4,SIN3A,AKT1,PIK3CG,SOS1,IRS2,PIK3CB,RXRA,FRS2,MAP2K1,RASSF1,ATM
Amyotrophic Lateral Sclerosis Signaling	1.75E00	2.88E-01	1.616	PIK3CA,Naip1 (includes others),RAB5C,PIK3R1,VEGFB,RAB5B,PIK3R4,VEGFA,PAK1,PIK3CG,CASP1,BID,IRS2,RNF19A,FRS2,ATM,NAIP,PIK3C2B,GRIN1,CASP3,GRB2,APAF1,BAX,CCS,CAPNS1,CAPN1,CAT,PIK3CB,CYCS,CASP7,SSR4,BIRC2
Cancer Drug Resistance By Drug Efflux	1.74E00	3.47E-01	NaN	FOXO4,PIK3CA,AKT2,NRAS,RRAS,PIK3R1,MDM2,KRAS,PTEN,BRAF,AKT1,ABCC1,PIK3CG,PIK3CB,PTGS2,PDK1,MAP2K1
Semaphorin Signaling in Neurons	1.74E00	3.4E-01	NaN	PAK4,ARHGEF12,RND1,DPYSL3,RHOC,RHOH,ROCK1,CRMP1,PAK1,SEMA4D,RHOQ,RHOB,CDK5,RHOA,PAK2,PLXNB1,ARHGAP1,NRP1
Tec Kinase Signaling	1.68E00	2.65E-01	-5.488	MAP2K4,PIK3CA,PIK3R1,RACK1,GNA11,TNFSF10,JAK2,PIK3R4,RHOH,YES1,PAK1,TXK,GNA15,RHOB,PIK3CG,IRS2,GNG5,PRKD3,FRS2,FASLG,ATM,ITK,PIK3C2B,PAK4,RHOC,GRB2,GNA12,ACTB,GNG2,GNAQ,MAPK8,STAT3,GNG10,STAT4,FOS,GNAI3,RHOQ,PRKCI,PRKCD,RHOA,PLCG2,PAK2,STAT2,PIK3CB,ACTG1
Systemic Lupus Erythematosus Signaling	1.68E00	2.53E-01	NaN	CD247,CD3E,NFATC3,PIK3R1,TXNL4A,KRAS,PIK3R4,PTPRC,CD28,SNRNP48,PIK3CG,PRPF40A,SNRPD1,IRS2,LSM3,SNU13,HLA-F,FRS2,SNRPA1,PRPF38A,ATM,PIK3C2B,PTPN6,AKT2,RRAS,CD3G,PPIH,CD72,PLCG2,CREM,LSM1,ZCRB1,PIK3CA,HLA-A,PRPF8,PRPF39,FCGR2B,HLA-G,RNPC3,AKT1,SOS1,SNRPD3,SNRPD2,PRPF31,NRAS,IL10,FCGR2A,GRB2,TNFRSF13C,CD3D,RNU1-4,FOS,LSM8,SNRPB2,PIK3CB,LSM5,PIM2
Ephrin Receptor Signaling	1.67E00	2.63E-01	-4.867	ARPC1B,Wasl,RACK1,GNA11,ACP1,VEGFB,KRAS,CRK,JAK2,NCK1,VEGFA,SHC1,PAK1,ACTR3,AKT1,GNA15,PIK3CG,SOS1,CREB1,GNG5,MAP2K1,GRIN1,PAK4,AKT2,NRAS,RRAS,ARPC5L,CXCR4,GRB2,CRKL,GNA12,GNG2,CREB3,GNAQ,EPHA3,STAT3,RAP1A,GNG10,ROCK1,GNAI3,ARPC1A,ABI1,RHOA,PAK2,ADAM10,DOK1
ERK5 Signaling	1.67E00	3.18E-01	-4.025	SH2D2A,RPS6KB1,NRAS,YWHAG,LIF,RRAS,SGK1,GNA12,CREB3,GNAQ,RPS6KA3,KRAS,RPS6KA5,FOS,AKT1,MEF2D,CREB1,RPS6KB2,RPS6KA4,MEF2C,MAP3K2
Triacylglycerol Biosynthesis	1.67E00	3.48E-01	NaN	AGPAT4,PLPPR3,GPAM,ABHD5,LCLAT1,PPP2R2D,LPCAT4,DGAT2,AGPAT1,TAZ,LPIN2,DGAT1,ELOVL1,LPGAT1,GPAT4,AGPAT3
Diphthamide Biosynthesis	1.66E00	1E00	NaN	EEF2,DPH5,DPH6
PEDF Signaling	1.66E00	2.99E-01	-3.674	PIK3CA,TCF4,PIK3R1,KRAS,PIK3R4,IKBKG,AKT1,PIK3CG,IRS2,CHUK,NFKBIB,FRS2,FASLG,ATM,PIK3C2B,AKT2,NRAS,RRAS,GRB2,IKBKE,ROCK1,NFKBID,RHOA,PIK3CB,ELK1,CASP7
Prolactin Signaling	1.65E00	3.01E-01	-3.800	SOCS3,PIK3CA,PIK3R1,SOCS6,KRAS,JAK2,PIK3R4,SHC1,PIK3CG,SOS1,IRS2,FRS2,MAP2K1,PRKD3,ATM,PIK3C2B,NRAS,GRB2,RRAS,STAT3,FOS,PRKCI,PLCG2,PRKCD,PIK3CB
RAN Signaling	1.65E00	4.71E-01	NaN	KPNA4,KPNA6,RCC1,TNPO1,RANGAP1,RAN,KPNA2,IPO5
Estrogen-Dependent Breast Cancer Signaling	1.64E00	3.04E-01	-3.900	HSD17B10,PIK3C2B,PIK3CA,AKT2,NRAS,RRAS,GRB2,PIK3R1,CREB3,TERT,HSD17B11,KRAS,PIK3R4,FOS,AKT1,PIK3CG,CREB1,HSD17B12,IRS2,PIK3CB,ELK1,FRS2,HSD17B4,ATM
Clathrin-mediated Endocytosis Signaling	1.63E00	2.56E-01	NaN	PIK3CA,RAB5C,EPS15,ARPC1B,PIK3R1,VEGFB,Ubb,AP1B1,RAB5B,PIK3R4,AP2A2,VEGFA,CD2AP,LYZ,AP1G2,ACTR3,ARRB1,SNX9,PPP3CB,RAB11B,PIK3CG,PPP3R1,AMPH,IRS2,STAM,CSNK2B,LDLRAP1,FRS2,ATM,RAB4B,PIK3C2B,AP2M1,GRB2,ARPC5L,ACTB,CLTC,USP9X,MDM2,PPP3CC,AP2S1,HSPA8,CSNK2A2,LDLR,ARPC1A,SYNJ1,CLTA,TFRC,PIK3CB,UBC,ACTG1,MYO1E
CDP-diacylglycerol Biosynthesis I	1.63E00	4.17E-01	NaN	AGPAT4,GPAM,ABHD5,LCLAT1,LPCAT4,AGPAT1,TAZ,AGPAT3,LPGAT1,GPAT4
RAR Activation	1.63E00	2.58E-01	NaN	MAP2K4,PBRM1,NSD1,PIK3CA,PIK3R1,GTF2H2,SMARCD2,JAK2,MNAT1,RARG,PRKAG1,PTEN,VEGFA,AKT1,KAT2B,TGFB1,PIK3CG,RDH14,PNRC1,GTF2H5,SORBS3,CSNK2B,MAP2K1,PRKD3,SMAD1,AKT2,DHRS3,IL3RA,RDH11,CDK7,ACTB,MAP3K1,MAPK8,PRKAR2A,ERCC2,FOS,CSNK2A2,PRKCI,DHRS9,DUSP1,PRKCD,PRKACA,GTF2H1,PIK3CB,RXRA,REL,ADCY7,HLTF,PHF10
DNA Double-Strand Break Repair by Non-Homologous End Joining	1.62E00	5E-01	NaN	PRKDC,XRCC6,MRE11,XRCC4,XRCC5,RAD50,ATM
Activation of IRF by Cytosolic Pattern Recognition Receptors	1.6E00	3.17E-01	-2.683	MAP2K4,IL10,ZBP1,MAPK8,IKBKE,ISG15,TANK,NFKBID,IKBKG,IRF7,RIPK1,SIKE1,MAVS,STAT2,ELP1,PIN1,CHUK,NFKBIB,IFIT2,IFNAR1
Role of Tissue Factor in Cancer	1.6E00	2.76E-01	NaN	PIK3CA,PIK3R1,GNA11,RPS6KA3,KRAS,JAK2,PIK3R4,EIF4E,PTEN,VEGFA,YES1,PAK1,ARRB1,AKT1,GNA15,F2RL1,PIK3CG,ITGAV,IRS2,FRS2,ATM,PIK3C2B,RPS6KB1,AKT2,NRAS,CASP3,RRAS,GRB2,EGR1,GNA12,GNAQ,RPS6KA5,PIK3CB,RPS6KA4
UDP-N-acetyl-D-galactosamine Biosynthesis II	1.6E00	5.45E-01	NaN	GNPNAT1,HK2,PGM3,GALE,GNPDA2,UAP1
PKCθ Signaling in T Lymphocytes	1.6E00	2.64E-01	-5.754	CD247,MAP2K4,PIK3CA,CD3E,HLA-A,NFATC3,PIK3R1,HLA-DQA1,KRAS,HLA-DQB1,PIK3R4,CD28,IKBKG,CAMK2D,PPP3CB,PPP3R1,PIK3CG,SOS1,IRS2,CHUK,NFKBIB,FRS2,MAP3K2,ATM,MAP3K9,PIK3C2B,NRAS,RRAS,GRB2,MAP3K1,MAPK8,IKBKE,PPP3CC,CD3D,MAP3K12,FOS,NFKBID,CD3G,POU2F1,BCL10,PLCG2,PIK3CB
Germ Cell-Sertoli Cell Junction Signaling	1.58E00	2.6E-01	NaN	MAP2K4,TUBA1B,PIK3CA,TGFBR1,PIK3R1,ILK,CTNNA1,KRAS,PIK3R4,TUBB,RHOH,PAK1,AKT1,RHOB,TGFB1,PIK3CG,TUBB4A,TUBA1C,IRS2,MAP2K1,FRS2,RAB8B,MAP3K2,ATM,MAP3K9,PIK3C2B,PAK4,NRAS,RRAS,RHOC,TJP1,GRB2,ACTB,MAP3K1,TUBG1,TUBA4A,MAPK8,MAP3K12,RHOQ,TUBA1A,RHOA,FER,PAK2,PIK3CB,ACTG1
