© 2000-2018 QIAGEN. All rights reserved.

Upstream Regulator	Expr Fold Change	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target molecules in dataset	Mechanistic Network	
TP73	 	transcription regulator	 	-0.529	bias	6.72E-03	ADA,ADAM23,ALAS2,ATF3,BHLHE40,C3,CDH1,DCLRE1A,EGR1,FAM78B,GAB2,HSPA1A/HSPA1B,IL4R,JAG1,Meg3,MTX3,NLRC4,PIK3R3,PLK2,PNRC1,RAB7B,SERPINF1,SMUG1,TTR,VEGFA	196 (12)	
MECP2	1.075	transcription regulator	 	 	 	7.81E-04	ANXA1,CDH1,CDKN2A,CHRM4,EGR1,ESR1,HBA1/HBA2,HSPA5,IFNG,JUNB,Meg3,NR4A1,RARB,VEGFA	261 (21)	
TNFSF13B	-122.598	cytokine	 	0.065	bias	1.44E-03	CD40,CD80,CR2,DUSP5,HLA-DMB,IL15,MMP9,NAMPT,POU2AF1	198 (13)	
CDKN1A	25.291	kinase	 	-1.276	 	1.58E-02	CDKN2A,DUSP1,HSPA1A/HSPA1B,HSPA5,IFNG,JAG1,KIF20A,LIMA1,MIS18BP1,MMP9,MTTP,MYBL2,PLK2,TGM1,TNF,VEGFA,ZBED5	 	
LDLR	5.761	transporter	 	-0.749	 	2.80E-02	CD40,EGR1,HSPA5,IFNG,MMP9,NR1H3,PPARG,SCD,TNF	 	
ADRA1A	5.412	g-protein coupled receptor	 	 	 	2.85E-04	CREM,CSRP2,DUSP1,EGR1,FOS,NFIX,NR4A1,NR4A2,VEGFA	235 (17)	
CTSE	-2.976	peptidase	 	 	 	2.57E-03	CD40,CD80,IL18	172 (11)	
DNMT3A	-1.181	enzyme	 	-0.176	 	7.80E-03	CDH1,CXCR4,ENPP6,GNAO1,GRK3,GUCY1A3,IFNG,IRS1,KDM6B,PLA2G7,RAP2B,SOCS3	171 (11)	
MYD88	1.528	other	 	-0.719	bias	4.90E-07	C3,CD200,CD274,CD40,CD80,DCLRE1A,DUSP1,Ear2 (includes others),EGR1,ETS2,FOS,HLA-A,HSPA5,IFIT1B,IFNG,IL15,IL17C,IL18,JAG1,MAFF,MARCO,MMP9,NFKBIZ,PILRA,PLA2G4A,Plpp1,PSTPIP2,SOCS3,TNF,TNFAIP3,TNFSF13B	206 (16)	
DHX9	1.645	enzyme	 	 	 	3.60E-02	CDKN2A,IL18,TNF	 	
IGL	 	other	 	 	 	1.09E-02	IL13RA1,IL4R	 	
PSEN1	1.266	peptidase	 	1.446	 	6.11E-03	2700097O09Rik,ABCG2,AMPH,C3,DUSP1,EGR1,ENPP2,EXTL2,FOS,GADD45B,GNAO1,GPM6B,HBA1/HBA2,HSP90AA1,HSPA5,HSPA8,IFNG,Klra7 (includes others),MAP6,Meg3,MMP9,MT-CO1,PPARG,SLC38A2,SNCA,TNF,TUBB2B,UBC	274 (19)	
KCNE3	 	ion channel	 	 	 	4.11E-05	BCAT1,CSRNP1,FOSB,HSPA1A/HSPA1B,JCHAIN,KLF4,NFIL3,NR4A1,NR4A2,PER1,PLK3,Sik1	 	
AKAP8	1.791	other	 	 	 	4.38E-02	TNF	 	
ADRA1D	 	g-protein coupled receptor	 	 	 	1.74E-04	CREM,CSRP2,DUSP1,EGR1,FOS,NFIX,NR4A1,NR4A2,VEGFA	231 (18)	
SYK	1.074	kinase	 	0.508	 	2.71E-02	CD69,CXCR4,FCMR,JMY,OAS1,TNF,TNFSF13B,VEGFA	 	
RAF1	3.729	kinase	 	1.082	bias	4.63E-04	AMD1,ANXA1,CDKN2A,CLK1,DUSP2,DUSP5,EGR1,EGR3,ERBB2,ESR1,FOS,ID3,IGF1R,LAD1,MMP9,MYBL2,RGS1,SELENBP1,TNF,VEGFA,ZFP36L2	281 (22)	
NFE2L2	2.413	transcription regulator	 	0.102	bias	1.43E-03	ABCG2,AHR,ALAS2,ATF3,ATP6V0D2,BNIP3,CDH1,CELA1,CHGB,GSTM5,GSTT2/GSTT2B,HSP90AA1,HTATIP2,IFNG,KLK3,MAFF,MMP9,NUCB2,PHKA1,PPARG,RGS11,SERPIND1,SLC16A2,SLC7A11,SOCS3,SRXN1,SYT1,TNF,TTR,UBC,VEGFA,Xlr3c (includes others)	281 (19)	
KIR2DS4 (includes others)	 	transmembrane receptor	 	 	 	1.92E-03	CD69,IFNG	137 (7)	
PRKCQ	-1.140	kinase	 	1.179	bias	4.06E-02	CD69,IFNG,MMP9,TNF	 	
ITGB4	49.837	transmembrane receptor	 	 	 	3.07E-02	ENPP2,PTK2,VEGFA	 	
FOXO1	2.470	transcription regulator	 	0.016	bias	6.32E-06	ATP6V0D2,BANK1,BCL2L2,BLNK,CD40,CDKN2A,EBF1,EGR1,ELOVL7,FOS,FOSB,GADD45B,GRHPR,HSPA5,IFNG,IGF1R,IL15,IL18,IRS1,IRS2,ITGA3,JAG1,JUNB,KLF4,KLK3,MEN1,MMP9,MRPS18A,MTTP,NAMPT,PAX5,PLA2G2D,PPARG,PPP1R15A,S1PR3,SCD,SLC25A14,TDO2,TNF,TRADD	229 (18)	
KLF1	 	transcription regulator	 	-0.917	 	1.55E-02	ALAS2,BCL11A,HBB,ITGA2B,SPTB	 	
Zfp54	-168.566	other	 	 	 	4.38E-02	PPARG	 	
S100A6	1.989	transporter	 	-0.762	 	7.91E-03	ATF3,CDH1,PRNP,RDH5,TNFAIP3	 	
B2M	2.177	transmembrane receptor	 	0.711	bias	2.03E-04	CD8A,FCGRT,HLA-A,IFNG,IGF1R,Klra7 (includes others),KLRG1	 	
SP3	1.844	transcription regulator	 	0.208	bias	1.40E-02	ATF3,CD40,CEACAM1,Ces2c,CYP17A1,DUSP1,EGR1,ESR1,FOS,HSPA5,IGF1R,ITGAD,KLF4,LCAT,TGM1,TIMP2,VEGFA	 	
MGAT3	 	enzyme	 	 	 	7.99E-03	CDH1,ITGA3,MTTP	 	
NTRK2	 	kinase	 	-0.186	bias	1.30E-02	CDH1,EGR1,FOS,JAG1,SYT1,TNF,VEGFA	 	
ATF3	626.673	transcription regulator	 	-1.060	 	4.13E-02	ATF3,CD69,GBP6,IFNG,PENK,PPP1R15A,SLC11A1,TNF	 	
TIA1	1.530	other	 	 	 	3.98E-03	HBB,TNF,VEGFA	 	
SELPLG	1.985	other	 	1.633	bias	2.80E-03	CLK1,CXCR4,FOS,IL1R2,IL4R,SERPINB9	190 (10)	
IDO1	 	enzyme	 	0.000	 	1.01E-02	CD80,SLC3A2,SLC7A11,TNF	 	
KLF3	-2.221	transcription regulator	 	-0.726	 	1.29E-02	ALDH3B1,BCL2L2,CD69,CFP,DOK3,FCGRT,FOS,HBB,HIST1H2AC,HIST4H4,KCNK6,KLF12,LILRB3,LY96,MGST2,MZB1,PTPN14,RAP1GAP2,RDH12,RMDN1,RYR1,SCIMP,SPTB,SSSCA1	 	
PTPRE	2.534	phosphatase	 	 	 	2.13E-02	IL18,MARCO,SLFN12L	 	
RAC1	1.269	enzyme	 	0.843	bias	4.31E-02	ATF3,CDH1,CIITA,DUSP1,ESR1,FOS,IFNG,MMP9,VEGFA	 	
DIRAS3	 	enzyme	 	 	 	3.07E-02	DNASE1L3,FOSB,MPI	 	
TICAM1	-2.531	other	 	0.179	bias	3.95E-06	Apol7e (includes others),CD40,CD80,DUSP1,EGR1,ETS2,IFIT1B,IFNG,IL15,IL18,ISG20,JAG1,MAFF,NFKBIZ,PILRA,Plpp1,PSTPIP2,SOCS3,TNF,TNFAIP3	176 (15)	
CPEB1	 	translation regulator	 	 	 	2.57E-02	CDH1,MMP9,TJP1	 	
PRKAR1A	2.576	kinase	 	-1.131	 	3.25E-02	CDH1,ERBB2,NR4A2,PPARG	 	
SLC1A2	7.829	transporter	 	 	 	4.38E-02	FOS	 	
MAP3K1	2.273	kinase	 	1.659	bias	3.01E-02	ATF3,DUSP1,EGR1,FOS,PLA2G4A,TNF	 	
NRAS	-1.500	enzyme	 	1.969	bias	4.61E-02	CEACAM1,DUSP2,EGR1,IFNG,JCHAIN,MYBL2,RNASE6,VEGFA	 	
SPHK1	 	kinase	 	0.100	 	1.06E-02	CDKN2A,EGR1,GCH1,IFNG,SOCS3,TNF	 	
SMAD4	1.602	transcription regulator	 	-1.288	bias	2.86E-03	CD79A,CDH1,CDKN2A,COL10A1,CYP17A1,ERBB2,FOS,FSCN1,GADD45B,HEBP1,HHEX,IFNG,IRAK3,JAG1,NAMPT,PILRA,SCD,SKIL,TNF,VEGFA	231 (16)	
BAX	-2.893	transporter	 	0.128	bias	2.55E-02	DNAJB2,HLA-A,IL15,MMP9,TNF,TRIM6-TRIM34	 	
ERBB3	-1.041	kinase	 	0.761	 	1.58E-03	CDH1,CXCR4,DUSP1,EGR1,ERBB2,HBA1/HBA2,IGF1R,MATN2,SLPI,SOCS3,VEGFA	265 (22)	
RAC2	1.638	enzyme	 	 	 	5.74E-04	ANXA1,CALCB,Cd24a,FOS,GCSAM,IFNG,NR4A1,SLPI	181 (14)	
AMHR2	 	kinase	 	 	 	4.38E-02	CDKN2A	 	
ITGA6	1.957	transmembrane receptor	 	1.204	bias	6.85E-03	ENPP2,ITGA3,RPSA,VEGFA	214 (11)	
JAG2	 	growth factor	 	-0.128	bias	6.59E-03	C3,CCR8,IL13RA1,IL17C,JAG1,TNF	75 (5)	
PIK3R1	3.380	kinase	 	1.610	bias	2.07E-02	ATF5,FOS,GCH1,HSPA5,IFNG,PPARG,TNF,VEGFA	 	
NCR1	-26.852	transmembrane receptor	 	 	 	7.99E-03	CD69,IFNG,TNF	225 (21)	
NRG2	3.384	growth factor	 	 	 	2.20E-05	BNIP3,DNAJB2,EEF1A1,EGR1,ERBB2,FOSB,JUNB,NR4A1,NR4A3,TNFRSF25,TOB2,VEGFA	214 (12)	
USP18	5.452	peptidase	 	 	 	1.67E-02	IFNG,IL15,OAS1,SOCS3	 	
IFNE	 	cytokine	 	0.600	bias	1.95E-02	CD40,CD80,IFNG,ISG20,ZBP1	 	
SCN7A	 	ion channel	 	 	 	4.38E-02	FOS	 	
PGR	 	ligand-dependent nuclear receptor	 	-0.075	bias	3.77E-02	ABCG2,AMD1,CALCB,CKAP4,DSCAM,EPHA1,ERBB2,ESR1,FOS,HBA1/HBA2,HPGD,IRS1,IRS2,KLF4,PLK2,PPARG,RAB27B,TNF,VCAN	 	
MYOD1	 	transcription regulator	 	-0.644	bias	1.95E-02	DUSP1,DYSF,ENPP2,ESR1,JUNB,KLF6,MYCL,PFKM,PMEPA1,PTK2,RYR1,SCN4A,SUSD2,TEAD2,TJP1	 	
EBF1-FOXO1-TCF3	 	complex	 	 	 	4.38E-02	PAX5	 	
FYB1	1.243	other	 	 	 	4.51E-02	CD69,IFNG	 	
ATF1	3.082	transcription regulator	 	 	 	3.56E-02	CD79A,CIITA,EGR1,FOS,IFNG	 	
PSMC3IP	2.611	transcription regulator	 	 	 	4.38E-02	CYP17A1	 	
IL12A	 	cytokine	 	1.960	 	2.02E-01	IFNG,MMP9,SOCS3,TNF	 	
SH2D1B	 	other	 	 	 	4.38E-02	IFNG	 	
MAP2K7	1.118	kinase	 	0.468	bias	7.77E-04	ATF3,CDKN2A,ENPP2,FCGRT,HSPA5,JUNB,MTTP,PLA2G4A,TNF	206 (16)	
BCL3	-19.151	transcription regulator	 	0.016	 	9.49E-03	CD40,CD69,CD80,FABP3,IFNG,TNF	191 (12)	
GNAI2	1.525	enzyme	 	0.896	 	1.68E-03	Abcb1b,BHLHE40,BNIP3,CXCR4,IFNG,TNF	279 (20)	
CARM1	1.760	transcription regulator	 	 	 	2.68E-02	C3,CDKN2A,EGR3,FOS,HSP90AA1	 	
MARK2	-1.003	kinase	 	-0.447	bias	1.55E-02	IFNG,IL15,IL18,NFKBIZ,TNF	 	
SPN	-1.069	transmembrane receptor	 	 	 	4.51E-02	CD69,TNF	 	
C3	-56.889	peptidase	 	0.026	bias	8.75E-03	C3,CDH1,CR2,FOS,IFNG,SOCS3,TNF,VEGFA	260 (23)	
LMNA	5.480	other	 	 	 	3.46E-02	AI987944 (includes others),CERS6,GSTT2/GSTT2B,ID3,ISG20,JAZF1,KANK3,Klra7 (includes others),LRP4,MAFF,MCAM,NDST2,PPCDC,SKAP2,SLC38A2,TIMP2,TNS2	 	
IL1RN	24.885	cytokine	 	-1.357	bias	2.51E-02	ATF3,CIITA,IFNG,ISG20,KCTD7,KLF6,MMP9,OAS1,RTP4,TNF,VEGFA	 	
CD3E	1.652	transmembrane receptor	 	-0.237	bias	8.00E-03	BNIP3,CD69,CTLA4,FOS,IFNG,ITK,MMP9,TNF	199 (22)	
CRH	 	cytokine	 	1.666	bias	1.62E-03	CYP17A1,FOS,HPGD,IL18,JUNB,NR4A1,SOCS3,TNF,VEGFA	258 (22)	
TGFBI	2.883	other	 	 	 	4.38E-02	CDH1	 	
GRM5	 	g-protein coupled receptor	 	 	 	2.56E-02	FOS,TNF	 	
EP300	1.180	transcription regulator	 	-0.872	bias	8.56E-05	BANK1,CD19,CD80,CDKN2A,CORO2B,CXCR4,DUSP1,DUSP22,EGR1,ERBB2,FOS,FOSL2,HBB,ID3,IFIT1B,IGF1R,IRF6,KLK3,KMO,MFHAS1,NR4A1,PLA2G4A,PLA2G7,PPFIBP2,RARB,RGL1,Rnf125,RTP4,SLAMF6,SLC27A1,SLC7A11,SOCS3,STOM,TNF,TNFAIP3,VEGFA,ZFP36L2	226 (16)	
NCOA2	1.082	transcription regulator	 	-0.221	bias	4.58E-02	AHR,EGR1,IFIT1B,IFNG,KLK3,PPARG,TNF	 	
RARB	-57.067	ligand-dependent nuclear receptor	 	-0.411	bias	3.90E-02	CDKN2A,EGR1,ID3,RARB,SLC16A2,TGM1,TJP1,VEGFA	 	
FANCC	1.512	other	 	 	 	3.11E-02	DLG2,HHEX,JAG1,OAS1,SKAP2,TNF,TNFSF4	 	
RAE1	1.115	other	 	 	 	4.82E-02	CDKN2A,MARS2,PEX11B	 	
DGKZ	-1.543	kinase	 	 	 	1.52E-03	CD69,IFNG,TNF	232 (21)	
LCP2	2.743	other	 	 	 	6.37E-04	CD69,ID3,IFNG,NR4A1,TNF	206 (21)	
LRIG1	2.270	other	 	 	 	2.56E-02	ERBB2,TNF	 	
CD9	2.305	other	 	-0.225	 	7.55E-04	CD69,ITGA3,MMP9,TJP1,TNF,VEGFA	268 (23)	
UCP1	 	transporter	 	-0.231	 	3.86E-02	AMD1,ATF5,CAPN3,Cd24a,CPNE2,EEF1A1,ODC1,SLC3A2,STAB2,TENM4,UBC	 	
F7	 	peptidase	 	1.224	bias	1.20E-02	EEF1A1,EGR1,FOS,JAG1,VEGFA	 	
CD46	 	other	 	 	 	4.19E-02	C3,CD69,IFNG	 	
IRF1	1.417	transcription regulator	 	-0.415	bias	2.98E-02	CD274,CD40,CEACAM1,CIITA,IFNG,IL15,IL18,MMP9,OAS1,ODC1,SLPI,TNF,TNFSF13B	 	
DNAJA3	1.430	other	 	 	 	2.56E-02	ERBB2,VEGFA	 	
AHR	15.239	ligand-dependent nuclear receptor	 	-0.433	 	8.34E-03	ABCG2,ACTN1,CDH1,CDKN2A,CELA1,Ces2c,CYP17A1,EPB41L5,ESR1,FOS,GSTM5,HSP90AA1,HSPA5,IFNG,JAG1,JUNB,MATN2,PPARG,PPP1R15A,SCD,SOCS3,TDO2,TIMP2,TNF,VEGFA	258 (17)	
RGS10	3.054	other	 	 	 	1.96E-02	CCR3,CCR8,IFNG,IL18,IL1R2,TNF	 	
MAPK14	-1.181	kinase	 	-0.157	bias	3.45E-03	CD40,CD80,CDH1,CDKN2A,COL10A1,DUSP1,FOS,FOSL2,IFNG,IL18,JUNB,MMP9,SLFN12L,SOCS3,TIMP2,TNF,VEGFA	213 (19)	
CYP11B2	 	enzyme	 	 	 	1.09E-02	IGF1R,VEGFA	 	
CEACAM1	-77.912	transporter	 	0.896	 	1.16E-03	CD40,CD80,CXCR4,IFNG,IGF1R,ULBP1,VEGFA	258 (18)	
DKK1	 	growth factor	 	0.896	bias	4.38E-02	CDKN2A,DPAGT1,KREMEN2,MMP9,PPARG,TTYH1	 	
SH3RF1	-30.560	other	 	 	 	2.57E-03	IFNG,MAP3K10,TNF	151 (11)	
5-O-mycolyl-beta-araf-(1->2)-5-O-mycolyl-alpha-araf-(1->1')-glycerol	 	chemical - endogenous non-mammalian	 	0.954	bias	1.83E-05	ATF3,CD40,DUSP1,KYNU,MMP9,NAMPT,NFKBIZ,NR4A3,PLA2G7,RGS1,SLC7A11,SOCS3,TNF,TNFAIP3	197 (10)	
DPP4	-1.138	peptidase	 	-1.732	 	2.22E-02	CDH1,IFNG,TIMP2,TNF	 	
MGAT5	2.449	enzyme	 	 	 	4.82E-02	CDH1,IFNG,IL4R	 	
ST3-Hel2A-2	 	chemical reagent	 	 	 	1.06E-02	ATF3,FOS,NR4A2	 	
MTA1	1.356	transcription regulator	 	-0.075	 	2.82E-03	CDH1,CDKN2A,ESR1,MMP9,MT-CO2,PAX5,TNF	258 (20)	
DIAPH1	1.719	other	 	 	 	2.56E-02	CDKN2A,EGR1	 	
ANKS1A	2.774	other	 	 	 	4.38E-02	FOS	 	
R-(+)-p-aminoglutethimide	 	chemical reagent	 	 	 	4.38E-02	TNF	 	
KCNIP3	-1.473	transcription regulator	 	-1.387	bias	5.69E-05	CREM,FOS,FOSB,FOSL2,IFNG,TNFAIP3	214 (11)	
20-hydroxyprostaglandin E2	 	chemical - endogenous mammalian	 	 	 	4.38E-02	PPARG	 	
FZD5	10.969	g-protein coupled receptor	 	 	 	2.57E-03	IFNG,TJP1,VEGFA	 	
B4GALNT1	1.573	enzyme	 	 	 	5.59E-03	FOS,VEGFA	 	
ARFRP1	2.068	enzyme	 	 	 	4.38E-02	LIPE	 	
CRCP	-3.799	transmembrane receptor	 	 	 	4.38E-02	CALCB	 	
CAMP	 	other	 	-1.176	bias	8.09E-03	CD80,CSF3R,CXCR4,IL18,IL1R2,IL1RL2,MYCL,NOTCH4,TNF,TNFAIP3	239 (15)	
ISG15	8.388	other	 	 	 	3.48E-02	IFNG,OAS1	 	
VIM	2.779	other	 	 	 	3.60E-02	CDH1,KCNJ10,PTK2	 	
SNCG	 	other	 	 	 	1.76E-02	ESR1,IGF1R	 	
PTGS1	1.621	enzyme	 	0.192	 	1.74E-02	ATF3,JCHAIN,MMP9,PLA2G4A,VEGFA	 	
TNK1	 	kinase	 	 	 	3.60E-02	IFIT1B,ISG20,TLR8	 	
PTPRJ	4.710	phosphatase	 	-0.816	bias	8.07E-03	CD69,FOS,IL18,MARCO,NFKBIZ,SLFN12L,TNF	223 (21)	
APOE	7.899	transporter	 	-0.491	bias	2.04E-02	ATF3,CD40,CD80,CLN8,EGR1,ESR1,FOS,HSPA1A/HSPA1B,Hspa1b,IFNG,IGF1R,ITGA3,KCNJ10,LARGE1,MMP9,NR1H3,PIDD1,PMEPA1,PPARG,PPFIBP2,SOCS3,TNF	 	
ATF7	1.455	transcription regulator	 	 	 	4.51E-02	DUSP1,DUSP5	 	
PDIA3	2.057	peptidase	 	 	 	1.09E-02	FCGR3A/FCGR3B,PRNP	 	
HLA-DPB1	 	transmembrane receptor	 	 	 	4.38E-02	IFNG	 	
TRADD	-348.120	other	 	1.067	bias	3.25E-02	KLK3,MMP9,TNF,TNFAIP3	 	
STK11	1.951	kinase	 	1.497	 	7.42E-05	ACVR1,ATF3,CAMKK1,CD274,CDH1,CHGB,CSF3R,GADD45B,IFNG,JUNB,KCNA2,KLF12,MCAM,MMP9,RGS1,TNFAIP3,TNFSF4,TTYH1,TUBE1,VEGFA	278 (22)	
CSNK2A2	-1.526	kinase	 	 	 	4.51E-02	CDH1,ESR1	 	
NLRP12	 	other	 	-0.492	bias	4.40E-03	CXCR4,HLA-A,HLA-F,IFNG,LY96,TNF	255 (14)	
CTBP1	1.746	enzyme	 	0.080	bias	1.68E-03	CDH1,CDKN2A,ENPP2,FOS,FSCN1,VCAN	 	
CD160	1.554	transmembrane receptor	 	 	 	5.78E-03	FOS,IFNG,TNF	188 (11)	
TACR1	 	g-protein coupled receptor	 	 	 	4.19E-02	FOS,IFNG,TNF	 	
SATB1	1.323	transcription regulator	 	0.600	 	7.15E-10	ACTN1,BLNK,CD40,CD69,CD8A,CDH1,CEACAM1,CSF3R,F5,FOSB,GADD45B,HBB,HELZ2,HLA-DMB,HLA-DOB,HSP90AA1,HSPA8,ID3,IL1R2,IL4R,LRRN3,MYCL,NR4A2,RGS1,TNF,TNFRSF8,TNFSF13B,VPS37B	 	
IL1A	39.260	cytokine	 	0.719	bias	2.01E-02	CD274,CD40,CD80,CYP17A1,F2RL3,FOS,GCH1,IFNG,IL18,IL1R2,MCAM,MMP9,NFKBIZ,PLA2G4A,PPARG,TNF,TNFAIP3	 	
FAS	1.709	transmembrane receptor	 	-1.499	 	7.43E-03	BCL11A,CD200,CD80,DNAH17,EGR1,F5,FES,FOS,FOSB,FSCN1,HLA-F,IFNG,IL13RA1,IL18,MMP9,NECTIN1,NR4A1,NR4A2,PPFIBP2,PPP1R15A,SERPINB9,SKIL,SLPI,TLR8,TNF,TNFAIP3,VEGFA	194 (13)	
PIGR	-2.858	transporter	 	 	 	4.51E-02	CD79A,CD80	 	
SLAMF6	-96.316	transmembrane receptor	 	 	 	1.76E-02	IFNG,TNF	 	
CCL4	2.980	cytokine	 	 	 	4.19E-02	CD40,IFNG,TNF	 	
ASAH1	2.543	enzyme	 	0.105	bias	1.25E-04	CERS6,CYP17A1,ELOVL7,LIPE,NR4A1,NR4A2,NR4A3	53 (4)	
MED13	1.702	transcription regulator	 	 	 	1.16E-03	NR4A2,PGAM2,PHKA1,PPARG,PYGL,SCD,Sik1	 	
ATF4	4.599	transcription regulator	 	0.853	bias	1.45E-04	ABCG2,ATF3,ATF5,BCAT1,CDKN2A,GCH1,HSPA5,JAG1,KLF4,NR1H3,PENK,PPARG,PPP1R15A,SERPINF1,SLC38A2,SLC3A2,SLC7A11,VEGFA	143 (9)	
KEAP1	-1.288	transcription regulator	 	-1.172	 	2.37E-03	AHR,ATP6V0D2,IL18,MMP9,PHKA1,PPARG	167 (11)	
GAD2	 	enzyme	 	 	 	4.38E-02	IFNG	 	
RB1	-1.058	transcription regulator	 	-1.340	 	3.40E-02	BNIP3,CDH1,CDKN2A,CHRNB1,COA3,DMPK,EGR1,FANCA,FANCL,FOS,HIST4H4,IGF1R,MELK,MYBL2,PGAM2,PMEPA1,PPARG,RAD51AP1,RFC3,RYR1,TNF,TOB2,UXT,VEGFA,ZNF655	 	
GFRA2	-7.595	transmembrane receptor	 	 	 	5.59E-03	EGR1,FOSB	120 (7)	
MAP3K8	2.133	kinase	 	1.995	 	2.52E-06	Apol7e (includes others),ARHGAP22,C130026I21Rik (includes others),CACNB3,CIITA,FOS,FSCN1,GPR146,Hmgn3,IFNG,IGF1R,IL18,LAD1,MARCO,MMP9,SLFN12L,SNN,SOCS3,TNF,TSPAN33,TUBB2B	270 (20)	
GATA3	1.820	transcription regulator	 	1.502	 	1.55E-04	BCL11A,CCR3,CCR8,CDH1,CTLA4,CXCR4,EBF1,ELOVL4,ESR1,EVPL,FOS,FSCN1,IFNG,IRF6,KLF4,NFIL3,PAX5,PPARG,SLPI,TGM1,TJP1,TNF	307 (22)	
STAG2	1.506	transcription regulator	 	 	 	1.92E-03	CD69,TNF	132 (7)	
HNF1B	 	transcription regulator	 	0.792	 	5.64E-03	ACTN1,ACVR1,BHLHE40,CDH1,DUSP1,ID3,IFT88,ITGA3,JAG1,PSTPIP2,PTPRM,TTR	 	
ZBTB32	-11.494	transcription regulator	 	 	 	7.99E-03	CIITA,CSF2RB,IFNG	 	
JAK2	-1.219	kinase	 	1.320	bias	2.64E-05	ACTN1,CALCB,CDC42BPB,CDH1,CDKN2A,DCXR,EGR1,ESR1,F5,FOS,GCNT2,IGF1R,ODC1,SLC11A1,SOCS3,SPTB,TNF	267 (21)	
Rhox5	 	transcription regulator	 	 	 	3.07E-02	JAZF1,PPARG,SCD	 	
FGF2	 	growth factor	 	0.154	bias	2.83E-03	ANPEP,CDH1,CHRM3,CHRM4,CXCR4,EGR1,ENPP2,FOS,ID3,IGF1R,IRS1,ITGA3,JUNB,KCNC1,KL,MCAM,MMP9,NOTCH4,NR4A1,NR4A2,ODC1,PENK,PPARG,SCD,SOCS3,TFPI,TNF,VEGFA	291 (20)	
RPS6KA2	1.844	kinase	 	 	 	4.38E-02	EGR1	 	
NTRK1	 	kinase	 	0.762	bias	3.39E-03	CALCB,EGR1,FOS,MMP9,NR4A1	287 (22)	
CCL5	-1.208	cytokine	 	0.771	bias	4.56E-04	AHR,AIF1,CCR3,CD40,DUSP1,FOS,IFNG,MMP9,NAMPT,TNF,TPMT	263 (20)	
APC	-1.838	enzyme	 	0.817	bias	4.60E-02	CDH1,CHGB,ID3,JAG1,KLF4,ODC1,PLA2G4A,TJP1,TNF,VEGFA	 	
PTPN11	1.254	phosphatase	 	0.427	 	8.75E-03	CHRNE,CSF3R,EGR1,FOS,GP1BA,IFNG,SOCS3,TNF	193 (17)	
KLF6	7.200	transcription regulator	 	-1.630	 	3.39E-03	ATF3,CDH1,IGF1R,MMP9,NR4A1,PPARG,RARB,TNF,VEGFA	261 (20)	
EBF1	-18.804	transcription regulator	 	-1.628	bias	1.26E-02	CD19,CD79A,EBF1,IRS1,LIPE,NFIL3,PAX5,PHKA1,PIK3R3,PPARG,SCD,SOCS3	 	
AFP	-1.035	transporter	 	 	 	1.06E-02	EGR1,FOS,MMP9	 	
SELP	93.783	transmembrane receptor	 	1.664	bias	3.27E-03	CLK1,CXCR4,IL1R2,IL4R,SERPINB9,TNF	238 (15)	
IL18	-223.803	cytokine	 	1.011	bias	9.53E-04	ATF3,CD40,CD69,CDH1,ENPP2,FCGR3A/FCGR3B,FOSL2,GADD45B,IFNG,IL18,KLRG1,MMP9,NFIL3,NFKBIZ,TNF,TNFRSF25,VEGFA	191 (17)	
CD276	 	other	 	 	 	3.98E-03	IFNG,MMP9,TNF	203 (15)	
EGR1	40.604	transcription regulator	 	-0.085	bias	7.16E-03	Abcb1b,ATF3,CDH1,CHGB,CREM,CYP17A1,EGR1,GADD45B,HPGD,IGF1R,JUNB,MMP9,NR4A1,PPARG,TNF,VEGFA	283 (16)	
IL9	 	cytokine	 	-1.091	bias	2.42E-02	GP1BA,IFNG,ITGA2B,JUNB,TNF	 	
RIPK3	-1.668	kinase	 	 	 	5.78E-03	IFNG,IL18,TNF	205 (15)	
PTGS2	46.092	enzyme	 	0.058	bias	2.34E-03	Abcb1b,ANXA1,CDH1,CXCR4,DUSP1,EGR1,ERBB2,FOS,MMP9,NEB,NR4A2,Pde4d,PLA2G4A,PPARG,TNF,VEGFA	236 (20)	
NRP1	2.181	transmembrane receptor	 	 	 	2.57E-02	CD40,PTK2,TNF	 	
SFTPA1	 	transporter	 	-1.597	bias	6.38E-04	ANKRD35,ANPEP,CLEC1B,EGR1,ESM1,FOS,FOSB,GUCY1A3,HBA1/HBA2,NAMPT,TNF	217 (16)	
NFKBIB	2.021	transcription regulator	 	0.896	 	1.03E-04	CD40,CD80,EGR1,IFNG,IGF1R,MMP9,RYR1,SYTL1,TNF,VEGFA	227 (13)	
ZNF423	 	transcription regulator	 	 	 	2.57E-03	CD79A,PPARG,RARB	126 (7)	
CFH	11.108	other	 	 	 	1.09E-02	PPARG,TNF	 	
SCD	-149.477	enzyme	 	-0.891	 	3.62E-03	ATF3,HSPA5,IFIT1B,IFNG,LIPE,SLC25A14,SLC27A1,TNF	256 (22)	
RRAS2	1.772	enzyme	 	 	 	4.38E-02	CDH1	 	
BTK	1.809	kinase	 	-0.214	 	1.15E-02	ATP6V0D2,CD274,CD40,CD69,CDKN2A,CXCR4,IFNG,IL18,ISG20,RP2,TNF	 	
