© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(B-H p-value)	Ratio	z-score	Molecules
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	1.86E-01	4.76E-02	NaN	LARGE1,Sult1a1
Retinol Biosynthesis	1.86E-01	4.76E-02	NaN	LIPE,RDH12
FGF Signaling	1.84E-01	4.4E-02	1.000	PIK3R3,KL,IRS1,IRS2
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	1.83E-01	5.56E-02	NaN	TNF
Cardiac β-adrenergic Signaling	1.83E-01	4.29E-02	-1.000	ENPP6,CACNA1E,GRK3,PPP1R14A,AKAP7,PDE6D
IL-1 Signaling	1.81E-01	4.35E-02	0.000	NFKBID,FOS,GNAO1,IRAK3
UVC-Induced MAPK Signaling	1.81E-01	4.65E-02	NaN	FOS,PRKCG
Stearate Biosynthesis I (Animals)	1.78E-01	4.55E-02	NaN	FAM213B,SLC27A1
GADD45 Signaling	1.78E-01	5.26E-02	NaN	GADD45B
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	1.78E-01	5.26E-02	NaN	ITPKB
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	1.78E-01	5.26E-02	NaN	ITPKB
Methylglyoxal Degradation III	1.78E-01	5.26E-02	NaN	FAM213B
Histamine Degradation	1.78E-01	5.26E-02	NaN	ALDH3B1
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	1.61E-01	4.35E-02	NaN	ETS2,UTF1
Maturity Onset Diabetes of Young (MODY) Signaling	1.55E-01	4.76E-02	NaN	CACNA1E
Oxidative Ethanol Degradation III	1.55E-01	4.76E-02	NaN	ALDH3B1
Endoplasmic Reticulum Stress Pathway	1.55E-01	4.76E-02	NaN	HSPA5
Putrescine Degradation III	1.32E-01	4.35E-02	NaN	ALDH3B1
