© 2000-2018 QIAGEN. All rights reserved.

Upstream Regulator	Expr Fold Change	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
TP53	-9.995	transcription regulator	Inhibited	-3.321	2.98E-17	AATF,Abcb1b,ABCB4,ABCC1,ACAA2,ACLY,ACSL3,ACTB,ADAM8,ADD3,ADGRE5,ADRB2,AHCY,AKAP12,AKR1B1,AKT1,AMOTL2,ANK1,ANXA6,AP1B1,APAF1,APEX1,API5,ARAP2,ARHGAP1,ARHGAP5,ARL6IP1,ARPC1B,ASF1B,ASNS,ASPM,ATF3,ATG2B,ATG4B,ATG7,ATL3,ATP5C1,Atp5k,AURKA,BAP1,BAX,BCAP31,BCAS3,BCL2L11,BHLHE40,BID,BIRC2,BLZF1,BRAF,BRCA1,BRCA2,BTG1,BTG2,CALU,CAMK2D,CAMLG,CAP1,CAPNS1,CARHSP1,CASP1,CASP2,CASP3,CAT,CCNA2,CCND2,CCNE1,CCNE2,CCNG2,CCNL1,CCS,CD247,CDC16,CDC20,CDC7,CDK4,CDK7,CDKN1A,CDKN1B,CDKN2D,CDT1,CERS6,CHST12,CHUK,CKB,CLPP,CNN2,COL4A1,COL4A2,COPB1,CPOX,CREB3,CSF1R,CSTF1,CTSB,CYB5A,CYP51A1,DAPK1,DBF4,DCK,DDIAS,DDIT4,DEF6,DGKA,DHCR24,DHRS9,DICER1,DLD,DLGAP1,DLGAP5,DNAJA2,DNTTIP1,DOK1,DSTN,DUSP1,DUSP2,DUSP5,DUT,EBAG9,EGR1,EI24,ELF4,ENSA,ERCC1,ERCC5,EXO1,EZH2,FAM3C,FAM83D,FANCI,FASLG,FBXO22,FDPS,FIGNL1,FKBP3,FLRT2,FMO1,FOS,FRMD4A,FUBP1,FUCA1,G6PD,GABPA,GADD45B,GART,GLB1,GPD1L,GRB2,GRK3,GSK3B,GSR,GSTM1,GSTP1,GTF2H1,GTSE1,HADH,HADHA,HADHB,HDAC3,Hist1h1b,HIST2H4B,HK2,HLA-DQA1,HMGCR,HMGCS1,Hmgn2 (includes others),HMMR,HMOX1,HSF1,HSP90AA1,HSPA1A/HSPA1B,HSPA8,HSPD1,HSPH1,IDH2,IDH3G,IER3,IFI16,IFNG,IGF2,IL10,IL12RB1,IL16,IL4R,ILK,ING3,INPP4A,IPO9,IQCB1,IRF5,IRF7,IRF8,ISCU,ISG15,JUNB,KAT2B,KIAA0368,KIF23,KIF24,KIFC1,KLF4,KLHL21,KPNA2,LAPTM4A,LASP1,LGALS3,LIF,LMAN2,Ly6a (includes others),LYPLA1,LYZ,MAN2A1,MAP2K1,MAP2K4,MAP4K1,MAP4K5,MAPRE3,MBNL2,MCM3,MCM4,MDM2,MDM4,ME2,MELK,MLH1,MRPL46,MSH2,MSH6,MT-CO2,MT-CYB,MT-ND5,MVD,MVK,MVP,Mx1/Mx2,MYBL2,MYH9,MYL4,MYO1C,NAB1,NAMPT,NARS,NCAPD3,NCAPG,NCF1,NDRG1,NDRG2,NDRG4,NEDD8,NFATC2IP,NME1,NRARP,NRP1,NUP153,NUSAP1,OAS1,OMA1,PACSIN1,PAFAH1B2,PARP2,PARVA,PCDH7,Pcmt1,PDCD6IP,PDHX,PDK1,PDLIM5,PDP1,PDRG1,PDS5A,PERP,PFKFB3,PGM3,PIAS2,PIK3R1,PIK3R4,PIM1,PLA2G16,PLEKHB2,PLK2,PLPBP,PLXNB2,Pmaip1,PMS2,POLA1,POLB,POLD1,POLD2,POLK,POLR2E,PPFIBP1,PPM1A,PPM1F,PPP1R13B,PPP1R15A,PPP2CA,PPP4R2,PPT1,PRC1,PRDX2,PRDX3,PRELID1,PRKAR2A,PSMA1,PSMB9,PSMC1,PTEN,PTGS2,PTP4A3,PTPN6,PTPRA,PTPRE,PTTG1,PVT1,PYCARD,RAD17,RAD50,RAD51,RANGAP1,RAP2B,RBBP4,RBL2,RFC4,RFWD2,RHOB,RLIM,RPN1,RPN2,RPS6KB1,RPSA,RRM1,RRM2,SCMH1,SCO2,SEC23B,SEL1L,SELP,Serpina3g (includes others),SERPINB6,SERPINB9,SESN1,SESN2,SGK1,SH2D1A,SHC1,SHISA5,SIAH1,SLC19A2,SLC2A1,SLC37A3,SLC5A3,SLC6A6,SMC2,SMURF2,SPC25,SPHK2,SPP1,SPTLC2,SREBF1,ST14,STAG1,STAMBP,STAU1,STOM,STRN3,SUCLG1,SYN1,TAGLN2,TANK,TBP,TCF4,TCN2,TDG,TERT,TEX15,TFDP1,TGFB1,TGFBI,TGFBR1,THBS1,TIGAR,TIMM44,TJP1,TLR1,TMED7,TMEM127,TMEM43,Tmsb4x (includes others),TNFAIP8,TNFRSF1B,TNFRSF9,TNFSF10,TP53BP2,TPP1,TRAF4,TRIM6,TSPO,TTK,TUBB,TUBB4A,UBA1,UBC,UBE2B,UBL3,UGDH,UHRF1,UMPS,UNG,USP14,USP9X,VAMP4,VASN,VEGFA,VEGFB,VRK1,WEE1,XAF1,XRCC5,YES1,YWHAG,ZC3H12A,ZFP36,ZFP36L1,ZNF175	1229 (17)	
CCNK	3.574	kinase	Inhibited	-4.020	5.00E-06	ATR,BRCA1,BRCC3,COPS6,DGKA,FANCI,GABPB2,ORC3,POLA2,RFC4,RFC5,RPA2,SNAPC5,TAF12,TAF15,TAF8,UTP14A	 	
ESR1	-1.271	ligand-dependent nuclear receptor	Inhibited	-2.412	2.39E-05	AATF,ABCA3,ABCB9,ABI2,ABLIM1,ADAM17,ADD3,AFMID,AKT1,AKT2,ALCAM,ANAPC2,ANAPC5,AP1G2,AP1S1,AP2S1,AP4M1,APEX1,ARHGAP1,ARHGAP18,ARHGEF11,ARHGEF7,ARPC5L,ARRB1,ASPM,ATF3,ATG13,ATG3,ATP1B1,ATP6V0D1,ATP6V1A,AURKA,BAX,BCAS3,BCL2L11,BCL2L2,BCL6,BET1L,BIN1,BMPR2,BRCA1,BRCA2,BUB3,BYSL,C18orf25,CCNA2,CCNC,CCNE1,CCNG2,CCNI,CCNT2,CCP110,CCPG1,CD3EAP,CD55,CD69,CDC27,CDK4,CDK5,CDK5R1,CDKN1A,CDKN1B,CEBPG,CENPK,CENPL,CENPQ,CEP70,CHFR,CHM,CKB,CNOT4,COG2,COG6,COPZ1,CREB1,CRK,CRKL,CTSB,CTSS,CXADR,CXCL3,DCBLD2,DDIT4,DIAPH1,DLG2,DNAJC1,DR1,DSCR3,DUSP11,DUSP5,DYRK2,EEA1,EEF2K,EGR1,ENY2,ERGIC2,EXOC5,F2RL1,FAM102A,FIBP,FIS1,FLCN,FLOT2,FMN1,FOS,FOSB,FOSL2,FOXO4,FRAT2,G6PD,GADD45B,GATA3,GCSH,GLB1,GM2A,GNA12,GNAQ,GOPC,GPAM,GPSM2,HAX1,HDAC11,HDGFL3,HELLS,HIST1H4C,HLA-G,HMGCR,HOXD11,HSD17B4,HSP90AA1,HSPA13,HSPD1,HSPH1,ICOSLG/LOC102723996,IER3,IFNG,IFRD1,IGF2,IKBKE,IMPDH2,INSL3,IRF4,IRF5,IRS2,ISG20,ITGB1BP1,JAK2,JMY,JUNB,KCTD13,KIF23,KLHL24,KLHL9,KNL1,KRAS,LANCL1,LDLR,MAP1B,MAP3K1,MAP3K12,MAP3K9,MAP4K5,MAPK8,MCF2L,MDM2,MDM4,MEF2D,MINOS1,MPC1,MR1,NCAPG,NCOA3,NEK1,NF1,NFYB,NLK,NME1,NR1H2,NR1H3,NSD1,NUP153,NUP160,NUP205,NUP88,OPA1,OPHN1,PAK1,PAK2,PCM1,PDCD5,PDLIM5,PHB2,PIAS1,PIBF1,PIM2,PKN2,PLK4,POLA1,POLR3A,POR,PPP6R2,PRKAA1,PRKCD,PRKCI,PRKD3,PRKX,PRPF40A,PRUNE1,PSAT1,PTEN,PTGS2,PTP4A2,PTTG1,PWP1,PYGL,RAB5B,RAB5C,RAB6A,RAD1,RALA,RBBP4,RBL2,RHOQ,RICTOR,RIPK1,RIT1,RND1,RNF41,ROCK1,RP2,RPS6KA4,RPS6KB1,RPS6KB2,RTP4,SCARB2,SDCCAG8,SEC14L1,SEC22C,SELL,SERPINB6,SERPINB9,SESN1,SGK1,SIGIRR,SLC12A4,SLC25A4,SLC26A2,SLC35B4,SLC38A2,SLC3A2,SLC6A6,SLC7A1,SLC7A11,SLC9A8,SMC2,SMPD1,SMURF2,SNX6,SORD,SOS1,SP4,SPP1,SPTLC2,SRM,SSR3,STAM2,STAT3,STK3,STX3,STX5,STX6,SUCLA2,SUFU,TAOK1,TAX1BP1,TERT,TFRC,TGFB1,TGFBR1,TIMM17B,TIRAP,TJP1,TMEM2,TMF1,TMOD3,TMPO,TNFAIP3,TNFAIP8L1,TNFSF10,TNPO1,TPD52,TRAM1,TRIB1,TRIM23,TSPO,TTK,UBL3,UCK2,UHMK1,VEGFA,WARS,WEE1,YIPF2,ZNF367	1281 (15)	
MYC	-4.992	transcription regulator	Inhibited	-7.718	4.14E-09	ABCA1,ABCB9,ABCC1,ABCD1,ABCD3,ABCF2,ABCF3,ACSS1,ACTB,ACVR2A,ADAMTS1,AHCY,AIMP2,AK2,AKAP12,AKT1,ALCAM,ALDOA,AMD1,ANXA5,ANXA6,APEX1,Arf2,ARHGEF7,ARL6IP1,ASNS,ATPIF1,B4GALT7,BAX,BCL6,BIN1,BIRC2,BMPR1A,BOP1,BRCA1,C12orf49,C1QBP,CAD,CANX,CAPNS1,CASP1,CASP3,CAST,CCNA2,CCND2,CCNE1,CCNE2,CCNG2,CCT3,CD274,CD48,CD69,CD9,CDC20,CDCA7,CDK4,CDK7,CDKN1A,CDKN1B,CHKA,CHST15,CLUH,COBLL1,COL4A1,COL4A2,COMMD3-BMI1,COX7A2L,CRIP1,CSRP2,CTNNA1,CTSB,CYCS,DDIT4,DDX11,DDX39B,DKC1,DUSP1,DUSP2,DUSP5,DUSP7,E2F2,E2F3,EEF2,EGR1,EIF2B3,EIF2S1,EIF2S2,EIF3D,EIF4E,ELAVL1,EMP1,EXOSC7,EXOSC8,EZH2,FASLG,FBL,FECH,FOS,FUT8,G6PD,GABARAP,GADD45B,Gar1,GART,GBP3,GCLC,GCSH,GDI1,GDI2,GFER,GFPT1,GGH,GLS,GLUD1,GM2A,GNPAT,GOT1,GOT2,GSR,H3F3A/H3F3B,HIST2H4A,HK2,HLA-A,Hmgn2 (includes others),HMOX1,Hnrnpa1,HNRNPH1,HSP90AA1,Hspa1b,HSPA9,HSPD1,HSPH1,IDH2,IER3,IFI16,IFIT1,IL10,IL1RAP,IMPA2,IRF7,ITGA1,ITGAM,JARID2,KIF16B,KLF10,KLF4,KLF6,KLK14,KRAS,LDHB,LIMS1,LRMP,Ly6a (includes others),LYZ,MAN2A1,MAP4K1,MAPKAPK5,MAT2A,MDM2,ME2,METAP1,MFAP1,MIF,MITF,MRE11,MRPL12,MSH2,MTBP,MTHFR,MYO1C,NAP1L1,NARS,NDEL1,NDRG1,NDRG2,NDUFS4,NFATC3,NFE2L2,NME1,NME2,NOP58,NRP1,NUDT21,OAS1,Oasl2,ODC1,PA2G4,PAK1,PAX5,PDK1,PERP,PEX19,PFAS,PFKFB3,PGK1,PHB2,PIAS1,PIAS2,PIAS3,PLP1,PLS3,PLSCR1,POLD1,POLDIP3,POLR1B,POLR2D,POLR2G,POLR3D,PPID,PPP2CA,PRDX2,PRDX3,PSAT1,PSMB8,PTEN,PTGS2,PTPRC,RAB10,RAD51,RARG,RARS,RBBP4,RCC1,RHOA,RHOB,RIOX2,ROCK1,RPL10,RPL19,RPL21,RPL23,Rpl32,RPL35,RPL41,RPS15A,RPS16,RPS20,RRM2,RRP1B,S100A10,S100A6,SAE1,SEPHS2,SERINC3,SFXN1,SGK1,SIRT2,SLC2A1,SLC3A2,SMAD1,SMS,Snrpc,SNRPD1,SNRPD2,SP3,SPP1,SRM,STAT3,SUCLA2,TAGLN2,TDG,TERT,TESPA1,TFDP1,TFRC,TGFB1,Tgtp1/Tgtp2,THBS1,TIMM10B,TIMM23,TLE1,TNFRSF12A,TPD52,TSPO,UBA2,UBE2I,USP18,USP36,USP54,VEGFA,VHL,YME1L1,ZFP36,ZFP36L1	1261 (17)	
cigarette smoke	 	chemical toxicant	Inhibited	-3.767	3.97E-02	ABCA1,Abcb1b,AHR,ATF6,CASP2,CASP3,CAT,CCT5,CDKN1A,CKB,COL4A2,CXCL3,DDIT4,DICER1,DNAJB5,EGR1,ESD,FOS,G6PD,GATA3,GCLC,GRB2,GSR,GSTP1,HMOX1,HSF2,HSP90AA1,HSPA5,HSPA9,IFNG,IL10,KLF4,MAFF,MT-ATP6,NFE2L2,OAS1,Oas1d (includes others),Oasl2,P2RX7,PDK2,PGD,PRDX1,PTGS2,SLC2A1,SREBF1,TCN2,TGFB1,TGFBR1,Tmsb4x (includes others),TTC3,UBC,UGDH,VEGFA,VEGFB,XDH	 	
phytohemagglutinin	 	chemical drug	Inhibited	-7.773	5.90E-03	ACOX1,AKT2,BTG1,CALU,CASP3,CAT,CCND2,CCNT1,CCR7,CD3D,CD69,CDK4,CDK7,CLCN4,COX7B,CRMP1,CTLA4,CXCR4,DRG2,FASLG,FOS,FOSL2,GATA3,GCLC,GPD2,HSP90AA1,IDH3A,IFNG,IFNGR2,IL10,IL12RB2,IQCB1,JAK2,KIF23,LMAN1,MAP1B,MCM4,NEDD8,NFYB,NKRF,NME1,NT5E,PAPOLA,PAX5,PDE1B,PLP1,POLR3A,PRF1,PRKX,PRPS1,PSMA1,PTPN22,PTPRC,PTPRJ,PWP1,RAD52,RCC1,RIPK1,RPS16,RXRA,SCARB2,SELENOP,SHC1,SLC5A3,SPP1,STAT3,STAT4,TBX21,TK2,TMPO,TNFSF10,TROVE2,VGLL4,VPS41,ZFX	1162 (18)	
2-mercaptoacetate	 	chemical - endogenous non-mammalian	Inhibited	-2.000	2.41E-02	CD68,CXCL3,FASLG,IL10,MFGE8,S100A10,TGFB1,TREML2	 	
chloropromazine	 	chemical drug	Inhibited	-2.946	8.07E-03	ACAT2,FDPS,FOS,HMGCR,HMGCS1,IDI1,IL10,LDLR,MSMO1,MVK,NR4A1,NR4A2,NR4A3,RDH11,SC5D	152 (3)	
guanidinopropionic acid	 	chemical - endogenous non-mammalian	Inhibited	-3.626	6.92E-03	ALAS1,ATP8A1,COX15,COX4I1,COX6B2,CYC1,CYCS,NDUFA11,NDUFA12,NDUFA3,NDUFA5,NDUFA7,NDUFB4,NDUFB8,NDUFS4,SDHA,UQCRB	 	
doxycycline	 	chemical drug	Inhibited	-2.191	1.00E00	ABCD3,CCND2,CD38,FASLG,HSPA1A/HSPA1B,IRF2,LEF1,MAPK8,MITF,NFE2L2,PLK3,PTGS2,XDH	 	
azetidyl-2-carboxylic acid	 	chemical reagent	Inhibited	-2.407	1.51E-02	ASNS,EDEM1,HSPA1A/HSPA1B,HSPA5,HSPA8,HSPA9	 	
methylnitronitrosoguanidine	 	chemical toxicant	Inhibited	-3.106	3.59E-02	BAX,BTG1,BTG2,CDKN1A,EGR1,KLF10,MDM2,MSH2,POLB,TNFSF10	 	
pitavastatin	 	chemical drug	Inhibited	-3.266	1.02E-03	ABCA1,ACADM,ACOX1,CAT,CYP51A1,FDPS,HMGCR,HMGCS1,IDI1,MVD,PTGS2	 	
nitric oxide	 	chemical - endogenous mammalian	Inhibited	-3.995	3.30E-02	AHR,AKT1,APAF1,ATF3,BAX,BIRC2,CASP7,CDKN1A,CDKN1B,DPYSL3,DUSP1,ECE1,EGR1,FASLG,FOS,GCLC,GSTM1,GSTP1,HMOX1,HSP90AA1,IER3,IFNG,IL10,IL12RB2,JUNB,MDM2,MT-CO1,NDRG1,NFE2L2,ODC1,PRKDC,PTGS2,SGK1,SLC23A2,SPP1,TFRC,THBS1,TK1,VEGFA,ZFHX3	 	
dalfampridine	 	chemical drug	Inhibited	-3.988	2.27E-03	ATF3,BTG2,CDKN1B,DUSP1,EGR1,FBXO33,FOS,FOSB,GADD45B,HSPA8,JUNB,KLF4,MAFF,NR4A1,NR4A2,PTGS2	 	
4-nitroquinoline-1-oxide	 	chemical toxicant	Inhibited	-2.219	2.04E-02	AURKA,CCNA2,CCNE1,CDKN1A,EGR1,MDM2,PTGS2	 	
monorden	 	chemical - endogenous non-mammalian	Inhibited	-2.000	3.15E-01	BAX,DNAJB1,Hspa1b,HSPA5	 	
quinolinic acid	 	chemical - endogenous mammalian	Inhibited	-2.571	1.00E00	BAX,CAT,EGR1,FOS,FOSB,HSPA1A/HSPA1B,JUNB,PTGS2	 	
kainic acid	 	chemical toxicant	Inhibited	-4.617	3.20E-02	Abcb1b,ATF3,BAX,BTG2,CAPN1,CASP3,CCNE1,CDK4,CLTC,CREM,CRMP1,CSF1R,CSRNP1,DUSP1,EGR1,FASLG,FOS,FOSB,FOSL2,GADD45B,GPR19,HYOU1,JUNB,NFIL3,NFKBID,NR3C2,NR4A1,NR4A2,ODC1,PER1,PPP1R15A,PTGS2,RABEP2,Sik1,SPP1,TJP1,VEGFA	 	
1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	 	chemical toxicant	Inhibited	-3.633	1.24E-02	BAX,CASP1,CASP3,CDK5,CYBB,EGR1,FOS,FOSB,FUBP1,HSF1,IDH2,ITGAM,Klf16,LIF,MAP2K4,NR4A1,NR4A2,PIN1,PTGS2,PTPRC,RHOA,TNFRSF1B	 	
nitrofurantoin	 	chemical drug	Inhibited	-2.766	6.84E-04	ACADM,ACOX1,ACTB,ACTG1,ADAMTS1,AMD1,ANXA5,APEX1,ASNS,BAX,BTG2,CASP3,CASP7,CAT,CTSB,CTSS,CXCL3,EEF1A1,EHHADH,EIF4E,GAS5,GSR,GSTM1,GSTP1,GTPBP4,HMGCR,HMGCS1,HMOX1,HSD17B4,HSPA5,IER3,IFNG,IFRD1,IL10,LGALS3,MAP2K1,MAPK8,ODC1,PRDX1,PRDX2,RPL13A,RPS6KB1,S100A10,SELENOP,SPP1,TNFRSF12A,TUBA1A,TUBB,VEGFA	 	
clozapine	 	chemical drug	Inhibited	-3.056	7.30E-03	Abcb1b,ACAT2,EGR1,FDPS,FOS,GATA3,GSK3B,HDAC3,HMGCR,HMGCS1,IL10,LDLR,NR4A1,NR4A2,NR4A3,PRKAR2A,SC5D,SGK1,SREBF1,TBX21	508 (5)	
brefeldin A	 	chemical - endogenous non-mammalian	Inhibited	-2.507	1.96E-02	CXCL3,ERLEC1,GADD45B,HLA-A,HMOX1,HSPA5,HSPA9,IFNG,KLF4,LONP1,PTGS2,SERINC3,SESN2,STARD5,TFDP1,THBS1	 	
pyruvic acid	 	chemical - endogenous mammalian	Inhibited	-2.376	3.49E-02	ALDOA,BAX,FOS,NR4A1,TNFSF10,VEGFA	 	
actinonin	 	chemical reagent	Inhibited	-3.464	1.36E-07	MT-ATP6,mt-Atp8,MT-CO1,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND2,MT-ND4,MT-ND4L,MT-ND5,MT-ND6	 	
1,2-dithiol-3-thione	 	chemical reagent	Inhibited	-6.840	1.08E-04	ACTG1,AGPAT3,ALAS1,ALDOA,ATF7,CCT3,CD8B,CLPP,CLPTM1L,CREG1,DDX39B,DNAJC3,DSTN,EIF2S1,EIF3D,ENTPD5,ERP29,ESD,FMO1,GCLC,GNA11,GSPT1,GSR,GSTM1,GSTP1,HAX1,HMOX1,HSP90AA1,IDE,IKBKG,LGALS8,LY6E,MCFD2,MRPS18B,MSMO1,NARS,NFE2L2,PRDX1,PSAT1,PSMA1,PSMA6,PSMB5,PSMC1,PSMC2,PSMC6,PSMD11,PSMD13,PSMD14,PSMD5,RACK1,RAN,RARS,RPS16,S100A13,SEC23A,SERINC3,SLC35B1,SREBF1,TFRC,TMED2,UBE2K,USP14	159 (3)	
mono-(2-ethylhexyl)phthalate	 	chemical toxicant	Inhibited	-6.003	1.34E-08	ACADM,ACADSB,ACAT2,ACOX1,ACSL1,ADIPOR2,BAX,BSCL2,CCND2,CCNE1,CDK4,COX4I1,CS,CYC1,DDIT4,DGAT1,DGAT2,ECHS1,FADS1,FAM98A,FASLG,FH,FOS,G6PD,GFPT1,GNPNAT1,HADH,HADHA,HK2,IDH3A,IDH3G,INSL3,IRS2,JUNB,LDLR,LRP1,MDH1,MUT,N4BP1,NAMPT,NDUFA10,NDUFB5,NDUFB9,NDUFS1,NDUFV2,NR1H3,PDK1,PGK1,POLR2A,PPTC7,PTRH2,RSRP1,SC5D,SDHA,SDHC,SDHD,SUCLG1,TARDBP,TCF4,TRIM41,TSPO,UQCRFS1	 	
methotrexate	 	chemical drug	Inhibited	-2.427	4.71E-03	ABCA1,ABCD1,ABCD3,ACAA2,ACADM,ACOX1,ACSS2,ACTB,ACTG1,ADIPOR2,AGPAT3,ALDOA,AMD1,APEX1,AUH,BTG2,CASP3,CD28,CDKN1A,COL4A1,CTSS,CYCS,DGAT1,DGAT2,DUSP1,DUSP14,ECHS1,EHHADH,EI24,FADS1,FKBP3,GPAM,GSR,GZMA,HADHA,HADHB,HMGCS1,HMOX1,HSD11B1,HSD17B4,IFNG,ITGA1,LRP1,MDM2,MITF,NR4A2,NXN,PEX7,PHYH,PLD2,PRDX1,PTGS2,RPS6KB1,SELENOP,SELL,SETD6,SKA2,SOCS3,SPP1,TGFB1,THBS1,ZBTB43,ZFP36L1	995 (13)	
captopril	 	chemical drug	Inhibited	-2.584	2.67E-01	ASNS,CSRP2,FCGR2A,GAS5,GNAI3,GTPBP4,HMOX1,IER3,LGALS3,MCM3,Ms4a6b,PSMB8,PTGS2,S100A10,SPP1,TGFB1,TNFRSF12A	 	
WR 1065	 	chemical drug	Inhibited	-3.553	5.67E-04	BAX,CAT,CDKN1A,CPOX,ERCC1,GSR,HDAC3,MDM2,NEDD8,NME1,RFC4,VEGFA,ZFP36L1	744 (10)	
vorinostat	 	chemical drug	Inhibited	-2.030	4.78E-01	ADAMTS1,APAF1,ATG5,ATG7,AURKA,BAX,BCL2L11,BFAR,BIRC2,BRAF,BRCA2,CARD6,CASP1,CASP2,CASP3,CD69,CDKN1A,CDKN1B,DFFA,DUSP1,ELAVL1,ELOVL1,FIS1,HDAC6,HSPA5,IFNG,IL10,MAPK8,MFGE8,MLH1,MRE11,MYBL2,NDRG1,PTGS2,PTP4A3,RAD50,SOCS3,TERT,TGFBR1,TNFSF10,TRAF4	 	
cerivastatin	 	chemical drug	Inhibited	-2.194	1.00E00	CDKN1A,FDPS,GCH1,HMGCR,HMGCS1,HMOX1,IDI1,IFNG,MYBL2,PTGS2,TGFB1,VEGFA	 	
lovastatin	 	chemical drug	Inhibited	-3.120	1.72E-03	ABCA1,ACAT2,ADAM10,ADAMTS1,ATF3,CAT,CCNA2,CDK4,CDKN1A,CDKN1B,EBNA1BP2,ENC1,FDPS,GATA3,GNPAT,GPAT4,HELLS,HMGCR,HMGCS1,HMOX1,IFNG,IL10,KLF4,LDLR,MPP6,MVD,MVK,NFKBIB,PMVK,POLG,PTGS2,RHOA,RHOB,RHOC,SREBF1,TBX21,TGFB1	1012 (16)	
2-amino-1-methyl-6-phenylimidazo-4-5-b-pyridine	 	chemical toxicant	Inhibited	-3.860	1.60E-02	BAX,CCT4,CCT5,CDK4,HSP90AA1,HSPA5,HSPA8,HSPD1,HSPH1,PSMA6,PSMB9,RAB2A,RAN,RAP1A,UBA1	 	
benzo(a)pyrene	 	chemical toxicant	Inhibited	-2.994	1.30E-02	ABCB6,AGTPBP1,AHR,ARHGEF6,BAX,BCL2L11,BRAF,BRCA1,C14orf119,CAMLG,CASP3,CDK5R1,CDKN1A,CEBPG,CYB5A,ECT2,ENTPD5,ERCC5,ESD,FOS,G6PD,GCLC,GNA11,GNAQ,GSTM1,GSTP1,HMOX1,HSPA1A/HSPA1B,Hspa1b,IER3,IL1RAP,MAFF,MAFG,MAP2K1,MAP2K4,MAP3K2,MDM2,Mx1/Mx2,NR4A1,NRAS,NUDT16,PDCD6,PGD,PPCS,PPIF,PRKACA,PTGS2,PTPRG,RHOC,RSRP1,SELP,STX5,TGFB1,THBS1,TSPAN31,VEGFA	 	
vitamin K3	 	chemical drug	Inhibited	-2.954	1.36E-02	ABCC1,BAX,BID,CASP3,EGR1,FOS,HK2,HMOX1,HSPA5,KLF6,NAMPT	 	
mitomycin C	 	chemical drug	Inhibited	-3.276	7.30E-03	ATF3,BAX,BRCA1,BRCA2,BTG2,CASP3,CDKN1A,DESI2,EGR1,FASLG,IRF2BP2,MALAT1,MDM2,PARP2,PPP1R15A,PYCARD,SESN2,TOP1,VEGFA,WEE1	1179 (20)	
butyric acid	 	chemical - endogenous mammalian	Inhibited	-2.015	2.75E-02	ADGRE5,ANXA5,ATP5G3,BAX,CAP1,CASP3,CCNA2,CCNC,CCND2,CCNE1,CCR5,CDC16,CDC20,CDK4,CDK5,CDKN1A,CDKN1B,CETN2,COL4A1,COL4A2,CPA3,CXCR4,CYCS,DAPK1,DHCR24,DTYMK,DUSP1,ELK3,EMP3,ERCC2,FFAR2,FOS,GATA3,GCLC,GDI1,GMPS,GRIN1,GSTP1,HADHB,HIST1H1C,IFI16,IFIT1,IFIT3,IFNAR2,IFNGR2,IGF2,IL10,IL18R1,INPP5E,IRF2,ITGAM,KLF4,KRAS,LY6E,MDM2,MT-CO2,MVP,MXD1,MYL4,NAMPT,NME1,NR4A1,NRAS,NRP1,PAX5,PLCB2,PLSCR1,POLR2L,PRDX1,PRKACA,PRKAR2A,PRKCD,PTEN,PTGS2,PYGL,RBBP4,RHOA,RXRA,SELENOP,SGK1,SLC26A2,SLC2A1,SMPD1,SOCS3,SPP1,SREBF1,STAT2,STAT3,SYK,TGFB1,TGFBI,TP53BP2,TUBA4A,TXK,UQCRQ,VEGFA,VEGFB,WEE1,ZFP36L1,ZNF148	 	
ezetimibe	 	chemical drug	Inhibited	-2.983	5.92E-04	ABCA1,CYP51A1,FDPS,HMGCR,HMGCS1,IDI1,LDLR,MVD,MVK,PMVK	601 (7)	
bisphenol A	 	chemical - endogenous non-mammalian	Inhibited	-3.502	3.72E-02	ALAS1,APEH,ATG12,ATG3,ATP6AP1,BAX,CASP3,CCNE1,CDK4,CDKN1A,CDKN1B,DHX30,EGR1,FOS,Hnrnpa1,HSPA1A/HSPA1B,MBNL2,MECP2,NME7,NR4A1,NR4A2,NR4A3,PAX6,PRDX2,PTGS2,RAB14,RBM4B,RPN2,SKIL,SNRPA1,Snrpe,SRD5A3,STAT3,STK17B,SYN1,SYNCRIP	 	
tert-butyl-hydroquinone	 	chemical reagent	Inhibited	-4.599	2.84E-02	ABCC1,AGL,ATF3,DYRK2,ERCC5,FLRT2,FOS,FOSL2,G6PD,GCLC,GSR,GSTP1,HERPUD1,HMOX1,HSPA5,HSPA8,IL10,ITGAM,JUNB,MAP2K4,NFE2L2,NUP153,RAB6A,SESN2	 	
sodium arsenite	 	chemical drug	Inhibited	-2.566	8.81E-03	ABCB6,ABCC1,AHCY,BAX,CDKN1A,CDKN1B,EGR1,FOS,GADD45B,GCLC,HDAC6,HMOX1,HSPA4,LITAF,MAT2A,SOCS3,TNFSF10,VEGFA	1266 (17)	
nitroprusside	 	chemical drug	Inhibited	-2.067	1.24E-01	CAT,CREB1,CXCL3,EGR1,FOS,HMOX1,IFNGR2,LAMC1,MDM2,PTGS2,RHOA,SLC12A4,VEGFA	 	
cobalt chloride	 	chemical reagent	Inhibited	-3.793	1.03E-02	ADAMTS1,ALDOA,APAF1,ATP7A,BHLHE40,CCR7,CDKN1A,CXCR4,DDIT4,DUSP1,HMOX1,MDM2,MEF2D,MITF,NDRG1,PGK1,PTGS2,RGS1,SLC11A2,SLC2A1,TFRC,TJP1,VEGFA	 	
