© 2000-2018 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-Value	Predicted Activation State	Activation z-score	Flags	Molecules	# Molecules
Lymphoid Tissue Structure and Development, Tissue Morphology	Quantity of lymphoid tissue	8.11E-08	 	-0.168	 	Abcb1b,AFF1,AHR,BANK1,BCL11A,BHLHE40,BLNK,C3,CD19,CD200,CD274,CD40,CD5L,CD79A,CD80,CD8A,CDH17,CDKN2A,CIITA,COL10A1,CR2,CTLA4,CXCR4,DUSP5,E2F6,EGR3,ESR1,ETS2,FCMR,FOS,FOSB,GCSAM,IFNG,ITK,ITPKB,KLF4,MYBL2,NOTCH4,NR4A1,POU2AF1,PRNP,RGS1,S1PR3,SIGLEC10,TNF,TNFRSF8,TNFSF13B,ZFP36L2	48
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	T-cell non-Hodgkin disease	2.37E-06	 	-0.164	bias	ADA,ANXA1,C3,CBX4,CCR3,CD19,CD200,CD40,CD69,CDH1,CDKN2A,CLK1,CR2,CREM,DCLRE1A,DUSP2,DUSP5,EGR1,GADD45B,GP1BA,HSP90AA1,IFNG,IL13RA1,IL15,IRS2,ISG20,ITPKB,KLF6,LAD1,MCAM,MMP9,NR4A2,NR4A3,OAS1,ODC1,PAX5,PER1,RARB,S1PR3,SEPT10,SERPINF1,SKIL,TIMP2,TJP1,TLR8,TNFAIP3,TNFRSF8,TUBB1,TUBE1,VEGFA,ZBTB10	51
Nutritional Disease	Obesity	3.08E-04	 	-0.159	 	ASIP,ATF3,BBS10,BBS12,C3,CACNB1,CACNB3,CACNB4,CALCB,CEACAM1,CERS6,CHRM3,CHRM4,CHRNB1,CHRNE,COX6A2,CXCR4,DUSP1,ESR1,GATM,HBA1/HBA2,HHEX,HSPA1A/HSPA1B,IL18,IRS1,IRS2,KIF20A,KSR2,LCAT,LIPE,MFSD2A,MMP9,MT-CYB,NAMPT,NR4A1,NR4A2,NR4A3,PLCL1,PPARG,SAMD4A,SCD,SCN11A,SCN4A,SERPINF1,SLC27A1,SOCS3,SRXN1,TIMP2,TNF,VEGFA	50
Cancer	Hyperplasia of secretory structure	3.39E-06	 	-0.154	 	ANXA1,CDH1,CDKN2A,CHRM3,CHRM4,CYP17A1,ERBB2,ESR1,FAH,FOS,IFNG,IFT88,IGF1R,IL4R,IRS1,IRS2,KLK3,LY96,MEN1,NEU3,PARPBP,PPARG,RARB,SLPI,TIMP2	25
Organismal Functions	Energy homeostasis	5.43E-05	 	-0.143	 	ASIP,BCO2,C3,CALCB,CEACAM1,CERS6,COX6A2,DUSP1,ESR1,FITM2,IL18,IRS2,MFSD2A,NR4A1,NR4A3,PLCL1,PNPLA8,PPARG,RARB,SAMD4A,SCD,SLC27A1,Ubb,VEGFA	24
Cell-To-Cell Signaling and Interaction	Adhesion of tumor cell lines	1.66E-06	 	-0.141	bias	ANXA1,Cd24a,CD274,CD81,CDH1,CDH17,CDKN2A,CR2,CXCR4,DSG2,DSP,DYSF,EGR1,EGR3,FES,FOS,GP1BA,IGF1R,IL18,IRS1,ITGA3,JUNB,KLK3,LGALS4,MAGI1,NEU3,NME3,PARVA,PPARG,PTK2,PTPN14,RPSA,TGFB1I1,TJP1,TNF,TNFRSF25,VCAN,VEGFA	38
Cell-mediated Immune Response, Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	Generation of helper T lymphocytes	1.08E-04	 	-0.137	bias	AHR,IFNG,IL17C,IL18,IL4R,ITK,NFKBIZ,POU2AF1,SOCS3,TNFRSF25,TNFSF13B,TNFSF4	12
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	Activation of CD8+ T lymphocyte	9.63E-05	 	-0.130	bias	CD40,CD80,HLA-A,IFNG,IL15,NFIL3,TNF	7
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function	Interaction of leukocytes	3.19E-04	 	-0.129	bias	ANXA1,C3,CALCB,CCR3,CD200,Cd24a,CD300LD,CD40,CD69,CD80,CD81,CDH1,CFP,CR2,CSF2RB,CSF3R,CTLA4,CXCR4,FCGR3A/FCGR3B,FES,GAB2,IFNG,IL15,IL18,ITGAD,ITK,LILRB3,MARCO,MCAM,PENK,PER1,PILRA,PPARG,RGS1,SEMA3E,TNF,TNFRSF8,ULBP1,VEGFA	39
Cell-mediated Immune Response, Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	Differentiation of Th17 cells	1.04E-04	 	-0.126	bias	AHR,CD69,CTLA4,ID3,IFNG,IL4R,KLF4,MEN1,NR4A2,PPARG,SLC3A2,SOCS3,TNFRSF8,TNFSF13B	14
Hematological System Development and Function, Lymphoid Tissue Structure and Development, Tissue Morphology	Quantity of CD4+ T-lymphocytes	8.97E-06	 	-0.125	 	AHR,ANPEP,BHLHE40,C1orf159,CD274,CD40,CD69,CD8A,CDKN2A,CIITA,COL10A1,CTLA4,ESR1,GPR83,HLA-A,IL13RA1,ITGAD,ITK,LRRC32,PLA2G2D,SIGLEC10,SLAMF6,TNF	23
Cellular Growth and Proliferation	Cytostasis	2.21E-04	 	-0.125	bias	Abcb1b,ABCG2,ADA,BHLHE40,CD19,CD40,CDH1,CDKN2A,CEACAM1,EGR1,ERBB2,ESR1,FHIT,HSPA1A/HSPA1B,IFNG,Ifnz (includes others),IGF1R,JAG1,KLF6,NME3,PER1,PIDD1,PLAG1,PPP1R15A,RARB,SKIL,SOCS3,TIFA,TNF,WWC1	30
Cellular Development, Cellular Growth and Proliferation	Proliferation of blood cells	8.85E-12	 	-0.117	 	ADA,AHR,AIF1,ANPEP,ANXA1,BANK1,BCL11A,BHLHE40,Bhlhe41,BLNK,C3,CALCB,CD19,Cd24a,CD274,CD40,CD69,CD79A,CD80,CD81,CD8A,CDH1,CDKN2A,CEACAM1,CHST3,CIITA,CR2,CSF2RB,CSF3R,CTLA4,CXCR4,DUSP1,DUSP5,EBF1,EGR1,EGR3,ERBB2,ESR1,ETS2,FANCA,FCGR3A/FCGR3B,FOS,GAB2,GADD45B,GP2,HLA-DMB,HSPA1A/HSPA1B,HSPA5,HSPA8,ID3,IFNG,Ifnz (includes others),IGF1R,IL13RA1,IL15,IL17C,IL18,IL4R,IRF6,IRS2,ISG20,ITGA2B,ITGAD,ITK,ITPKB,JAG1,JUNB,KLF4,Klra7 (includes others),LGALS4,LILRB3,LMO1,LRRC32,LY96,MMP9,NFIL3,NFKBID,NR1H3,NR4A3,PENK,PLA2G2D,POU2AF1,PPARG,Prg4,PRNP,PTK2,RASGRP3,RGS2,SERPINB9,SIGLEC10,SKIL,SLAMF6,SLC3A2,SLPI,SOCS3,TIMD4,TNF,TNFAIP3,TNFSF13B,TNFSF18,TNFSF4,TRADD,ULBP1,VEGFA,ZFP36L1	105
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	Activation of lymphocytes	8.52E-14	 	-0.070	bias	ADA,AHR,ANXA1,BANK1,BHLHE40,BLK,BLNK,C3,CD19,CD200,Cd24a,CD274,CD40,CD69,CD79A,CD80,CD81,CD8A,CEACAM1,CLEC1B,CR2,CSF2RB,CTLA4,DNASE1,DOK3,DUSP1,DUSP22,EBF1,EGR3,ERBB2,FCGR3A/FCGR3B,FOS,GP2,HLA-A,IFNG,IL15,IL18,IRAK3,IRF6,ITGA3,ITGAD,ITK,ITPKB,Klra7 (includes others),LILRB3,LRRC23,NFIL3,NFKBID,NFKBIZ,NR4A1,NR4A2,NR4A3,PAX5,PLA2G2D,PLXNB1,POU2AF1,PRNP,SERPINB9,SIGLEC10,SLAMF6,SLC11A1,TLR8,TNF,TNFAIP3,TNFSF13B,TNFSF4,ULBP1,VEGFA,VIPR1	69
Connective Tissue Development and Function, Tissue Morphology	Quantity of connective tissue	5.34E-07	 	-0.057	 	AHR,ASIP,BCL2L2,C3,CALCB,CBY1,CD81,CDKN2A,CEACAM1,CERS6,CHAD,DNA2,DUSP1,EBF1,EGR1,ESR1,FES,FOS,FOSB,FOSL2,GAB2,GATM,GGT1,HBA1/HBA2,HBB,HSPA5,IFNG,IL18,INPP4B,IRAK3,IRS1,IRS2,ITGA2B,JUNB,KIF9,KL,KLF4,KLK3,KREMEN2,LCAT,LIPE,MEN1,MFSD2A,MMP9,MTTP,MYBL2,NFIL3,NR1H3,PAX5,PER1,PFKM,PILRA,PLA2G4A,PLCL1,PPARG,PPP1R15A,PSTPIP2,RAB27B,RARB,SCD,SOCS3,SPTB,TNF,TSPAN33,VEGFA,ZFP36L2	66
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Lymphoid Tissue Structure and Development	Proliferation of immune cells	3.46E-12	 	-0.053	 	ADA,AHR,AIF1,ANPEP,ANXA1,BANK1,BCL11A,BHLHE40,Bhlhe41,BLNK,C3,CALCB,CD19,Cd24a,CD274,CD40,CD69,CD79A,CD80,CD81,CD8A,CDH1,CDKN2A,CEACAM1,CHST3,CIITA,CR2,CSF2RB,CTLA4,CXCR4,DUSP1,DUSP5,EBF1,EGR1,EGR3,ERBB2,ESR1,ETS2,FCGR3A/FCGR3B,FOS,GAB2,GADD45B,GP2,HLA-DMB,HSPA1A/HSPA1B,HSPA5,HSPA8,ID3,IFNG,Ifnz (includes others),IL13RA1,IL15,IL17C,IL18,IL4R,IRF6,IRS2,ISG20,ITGA2B,ITGAD,ITK,JAG1,JUNB,KLF4,Klra7 (includes others),LGALS4,LILRB3,LMO1,LRRC32,LY96,MMP9,NFIL3,NFKBID,NR1H3,PENK,PLA2G2D,POU2AF1,PPARG,PRNP,PTK2,RASGRP3,RGS2,SERPINB9,SIGLEC10,SKIL,SLAMF6,SLC3A2,SLPI,SOCS3,TIMD4,TNF,TNFAIP3,TNFSF13B,TNFSF18,TNFSF4,TRADD,ULBP1,VEGFA	98
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	Activation of T lymphocytes	3.68E-07	 	-0.039	bias	ADA,ANXA1,BHLHE40,C3,CD19,Cd24a,CD274,CD40,CD80,CD81,CD8A,CEACAM1,CLEC1B,CSF2RB,CTLA4,DUSP1,DUSP22,EGR3,ERBB2,FOS,GP2,HLA-A,IFNG,IL15,IL18,IRAK3,ITGA3,ITGAD,ITK,ITPKB,Klra7 (includes others),LRRC23,NFIL3,NFKBID,NR4A1,NR4A2,NR4A3,PLA2G2D,PRNP,SERPINB9,SLC11A1,TLR8,TNF,TNFSF4	44
Gene Expression	Transactivation of RNA	8.91E-05	 	-0.038	bias	ACVR1,AHR,AMPH,CBY1,CD40,CD80,CDKN2A,CIITA,CREM,DTX4,E2F6,EGR1,EGR3,EHF,ESR1,ETS2,FOS,FOSB,FOSL2,HTATIP2,ID3,IFNG,JAZF1,JUNB,KLF4,KLF6,MED7,MEN1,MMP9,MYBL2,NFIX,NFKBID,NOTCH4,NR1H3,NR4A1,NR4A2,NR4A3,PARVA,PER1,PLAG1,PLCE1,POU2AF1,PPARG,RARB,RNF14,SKIL,SOCS3,SRSF2,TGFB1I1,TGIF1,TNF,ZBED5,ZBTB10	53
Cell-mediated Immune Response, Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	Development of helper T lymphocytes	2.76E-04	 	-0.038	bias	AHR,IFNG,IL17C,IL18,IL4R,ITK,NFKBIZ,POU2AF1,SOCS3,TNFRSF25,TNFSF13B,TNFSF4	12
Cellular Development, Cellular Growth and Proliferation	Expansion of blood cells	2.96E-05	 	-0.035	bias	AHR,C3,Cd24a,CD274,CD40,CD69,CD80,CR2,CTLA4,EBF1,EGR1,ERBB2,GAB2,HSPA8,IFNG,IL15,IL18,IL4R,ITK,LGALS4,LRRC32,PPARG,SERPINB9,SIGLEC10,TNF,TNFAIP3,TNFSF13B,VEGFA	28
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Lymphoid Tissue Structure and Development	Proliferation of mononuclear leukocytes	3.16E-12	 	-0.033	 	ADA,AHR,AIF1,ANPEP,ANXA1,BANK1,BCL11A,BHLHE40,Bhlhe41,BLNK,C3,CALCB,CD19,Cd24a,CD274,CD40,CD69,CD79A,CD80,CD81,CD8A,CDH1,CDKN2A,CEACAM1,CHST3,CIITA,CR2,CSF2RB,CTLA4,CXCR4,DUSP1,DUSP5,EBF1,EGR1,EGR3,ESR1,ETS2,FCGR3A/FCGR3B,FOS,GAB2,GADD45B,GP2,HLA-DMB,HSPA1A/HSPA1B,HSPA5,HSPA8,ID3,IFNG,Ifnz (includes others),IL13RA1,IL15,IL17C,IL18,IL4R,IRF6,IRS2,ISG20,ITGA2B,ITGAD,ITK,JAG1,JUNB,KLF4,Klra7 (includes others),LGALS4,LILRB3,LMO1,LRRC32,LY96,MMP9,NFIL3,NFKBID,PENK,PLA2G2D,POU2AF1,PPARG,PRNP,RASGRP3,RGS2,SERPINB9,SIGLEC10,SKIL,SLAMF6,SLC3A2,SLPI,SOCS3,TIMD4,TNF,TNFAIP3,TNFSF13B,TNFSF18,TNFSF4,TRADD,ULBP1,VEGFA	95
Cardiovascular System Development and Function, Organismal Development	Vasculogenesis	7.92E-05	 	-0.008	bias	ACVR1,ADA,ADGRA2,AHR,AIF1,ANPEP,ANXA1,APH1A,ARHGAP22,ATF3,C3,C6,CALCB,CCR3,CD40,CDH1,CDKN2A,CEACAM1,CLEC1B,CSF2RB,CXCR4,EGR1,EGR3,ENPP2,ERBB2,ESR1,FES,GUCY1A3,HEXIM1,HHEX,HSPA5,ID3,IFNG,IFT88,IGF1R,IL18,IL4R,INPP4B,IRS1,JAG1,JUNB,KLK3,MCAM,Meg3,MEN1,MMP9,MYO18B,NCKIPSD,NOTCH4,NR4A1,NR4A2,ODC1,PLA2G4A,PLA2G7,PLXNB1,PPARG,PPP1R16B,PRKCG,PTK2,PTPRM,RARB,S1PR3,SEMA3E,SERPIND1,SERPINF1,SOCS3,TEAD2,TFPI,TIMP2,TNF,TNFAIP3,TNFRSF25,VEGFA,ZFP36L1	74
Cellular Development, Cellular Growth and Proliferation	Cell proliferation of tumor cell lines	2.29E-04	 	-0.008	 	ACTN1,ACVR1,AFF1,AHR,ANXA1,ATF3,ATF5,BCAR3,BNIP3,C8orf44-SGK3/SGK3,CALCB,CAPN3,CCDC88A,CD19,Cd24a,CD274,CD40,CD80,CD81,CDH1,CDH17,CDK14,CDKN2A,CEACAM1,CHRM3,CREM,CSF2RB,CTLA4,CXCR4,DMAP1,DNAJB2,DOHH,DSG2,DUSP1,DUSP5,EEF1A1,EGR1,EHF,ELMSAN1,ELOVL7,EPHA1,ERBB2,ESR1,ETS2,FAM129B,FANCA,FES,FHIT,FOS,FOSB,FSCN1,GAB2,GALR2,GGT1,HEXIM1,HPGD,HSP90AA1,HSPA5,HTATIP2,ID3,IFNG,Ifnz (includes others),IFT88,IGF1R,IL15,IL18,INPP4B,IRF6,IRS1,IRS2,JAG1,JUNB,KIF13A,KIF20A,KL,KLF12,KLF4,KLF6,LIMA1,LMO1,MAGI1,MCRS1,MELK,MEN1,MMP9,MYCL,NABP1,NACC2,NAMPT,NOTCH4,NOXO1,NR1H3,NR4A1,NR4A2,NUCB2,ODC1,PAQR4,PAX5,PENK,PIK3R3,PLA2G4A,PLCE1,PLXNB1,PMEPA1,PPARG,PRNP,PTK2,PTPN14,RARB,RASAL1,RFC3,RNF14,RNF144A,RPSA,RTKN,S1PR3,SCD,SERPINF1,SLC3A2,SLC7A11,SLFN12L,SLPI,SOCS3,SRSF2,TDO2,TFPI,TGFB1I1,TIMP2,TNF,TNFAIP3,TNFRSF8,TNFSF13B,TNS2,TPMT,UXT,VCAN,VEGFA	137
Cell Signaling, Post-Translational Modification	Tyrosine phosphorylation of protein	1.48E-04	 	-0.004	bias	CCR3,CD19,CD40,CD79A,CD81,CD8A,CHST15,CLEC1B,CTLA4,DUSP1,IFNG,IGF1R,ITGA2B,Klra7 (includes others),LILRB3,PTK2,PTPN14,SLC3A2,TNF,TNFRSF8,ULBP1,VEGFA	22
Drug Metabolism, Lipid Metabolism, Small Molecule Biochemistry	Synthesis of prostaglandin E2	5.78E-05	 	-0.001	bias	ANXA1,CD40,ERBB2,HBB,HPGD,IFNG,IL15,IL18,IL1R2,ITGA3,PLA2G2D,PLA2G4A,PNPLA8,PPARG,PRNP,RARB,S1PR3,SIGLEC9,TNF	19
Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Organ Morphology, Tissue Morphology	Quantity of thymocytes	8.42E-06	 	0.003	bias	Abcb1b,AFF1,AHR,BCL11A,BHLHE40,CD5L,CD79A,CD80,CD8A,CDKN2A,CIITA,COL10A1,CTLA4,CXCR4,DUSP5,E2F6,EGR3,ESR1,ETS2,FOS,FOSB,IFNG,ITK,ITPKB,KLF4,NOTCH4,NR4A1,TNF,TNFRSF8	29
Organismal Functions	Energy expenditure	6.29E-05	 	0.008	 	ASIP,BCO2,C3,CALCB,CEACAM1,CERS6,COX6A2,DUSP1,ESR1,FITM2,IL18,MFSD2A,NR4A1,PLCL1,PPARG,RARB,SAMD4A,SCD,VEGFA	19
Cell-To-Cell Signaling and Interaction, Cellular Movement	Recruitment of cells	5.64E-06	 	0.033	bias	AHR,ANXA1,C3,CCR3,CCR8,CD19,CD200,CD274,CD40,CD5L,CD69,CD8A,CR2,CSF2RB,CXCR4,EGR1,FCGR3A/FCGR3B,FOS,GAB2,GP1BA,HEXIM1,HSPA1A/HSPA1B,IFNG,IL15,IL18,IRF6,KDM6B,LY96,MMP9,Pde4d,PPARG,PTK2,SIGLEC9,SLC11A1,SLFN12L,SLPI,SNCA,TFPI,TNF,TNFRSF8,UNC13B,VEGFA	42
Gene Expression	Transactivation	8.15E-05	 	0.047	bias	ACVR1,AHR,AMPH,CBY1,CD40,CD80,CD8A,CDH1,CDKN2A,CIITA,CREM,DTX4,E2F6,EGR1,EGR3,EHF,ESR1,ETS2,FOS,FOSB,FOSL2,HTATIP2,ID3,IFNG,JAZF1,JUNB,KLF4,KLF6,MED7,MEN1,MMP9,MYBL2,NFIX,NFKBID,NOTCH4,NR1H3,NR4A1,NR4A2,NR4A3,PARVA,PER1,PLAG1,PLCE1,POU2AF1,PPARG,RARB,RNF14,SKIL,SOCS3,SRSF2,TGFB1I1,TGIF1,TLE1,TNF,ZBED5,ZBTB10	56
Cardiovascular System Development and Function, Ophthalmic Disease, Organismal Development, Organismal Injury and Abnormalities, Visual System Development and Function	Retinal neovascularization	4.37E-05	 	0.049	 	ANPEP,C3,IGF1R,IRS1,PLA2G4A,PRKCG,SERPINF1,SOCS3,TNF,VEGFA	10
Lipid Metabolism, Small Molecule Biochemistry	Synthesis of prostaglandin	1.81E-04	 	0.052	bias	ANXA1,CD40,ERBB2,FAM213B,HBB,HPGD,IFNG,IL15,IL18,IL1R2,ITGA3,PLA2G2D,PLA2G4A,PNPLA8,PPARG,PRNP,RARB,S1PR3,SIGLEC9,TNF,VEGFA	21
Cell Death and Survival, Cellular Compromise	Cytotoxicity of lymphocytes	2.33E-04	 	0.059	bias	CCR3,CD274,CD69,CD81,CEACAM1,CTLA4,FCGR3A/FCGR3B,HLA-A,HSPA1A/HSPA1B,HSPA8,IFNG,IL15,IL18,ITK,Klra7 (includes others),MYBL2,SLAMF6,TNF,ULBP1	19
Hematological System Development and Function, Hematopoiesis, Tissue Morphology	Quantity of hematopoietic progenitor cells	1.46E-07	 	0.060	 	Abcb1b,AFF1,AHR,BCL11A,BHLHE40,BLK,BLNK,Cd24a,CD40,CD5L,CD69,CD79A,CD80,CD8A,CDH17,CDKN2A,CIITA,COL10A1,CSF3R,CTLA4,CXCR4,DUSP5,E2F6,EBF1,EGR3,ESR1,ETS2,FANCA,FES,FOS,FOSB,HBA1/HBA2,HBB,IFNG,IL15,ITGA2B,ITK,ITPKB,KL,KLF4,LCAT,LILRB3,MYBL2,NOTCH4,NR4A1,PFKM,SLFN12L,SOCS3,TNF,TNFAIP3,TNFRSF8,TNFSF13B,TSPAN33,VEGFA	54
Cell Death and Survival, Endocrine System Disorders, Gastrointestinal Disease, Organismal Injury and Abnormalities	Apoptosis of beta islet cells	7.37E-05	 	0.063	 	ATF3,CDH1,IFNG,IGF1R,IRS2,JUNB,MMP9,PPARG,SOCS3,TNF,TTR,VEGFA	12
Cell Death and Survival, Organismal Injury and Abnormalities	Necrosis of epithelial tissue	1.03E-04	 	0.064	 	ABCG2,AHR,ALDH3B1,ATF3,BCL2L2,BNIP3,CD40,CDH1,CDKN2A,CEACAM1,CXCR4,E2F6,EEF1A1,EGR1,ELOVL4,ENDOG,ERBB2,ESR1,FAH,FOS,GADD45B,HSPA5,IFNG,IGF1R,IL15,IL18,IRAK3,IRS1,ITGA3,KCNB1,KL,KLF4,MCAM,MMP9,MZB1,NAMPT,NLRC4,NOTCH4,NR4A1,NR4A3,PLA2G4A,PLK3,PPARG,PPP1R15A,PRNP,PTK2,SCD,SERPINF1,SGPP2,SNCA,SOCS3,SRXN1,TGFB1I1,TNF,TNFAIP3,TNFRSF25,UXT,VEGFA	58
Lipid Metabolism, Small Molecule Biochemistry	Lipolysis	1.57E-04	 	0.069	 	ADA,ANXA1,C3,CD5L,CERS6,IFNG,IL4R,IRS1,LIPE,NR1H3,NR4A1,PLCL1,PPARG,TNF	14
